,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.76,0.8772680759429932,0.04062533378601074,0.08586883544921875,0.7397682666778564,0.009885549545288086,BME,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.8333333333333334,0.1864175796508789,0.03956007957458496,0.0757451057434082,0.0660247802734375,0.004364013671875,BME,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
2,0.7733333333333333,0.10704326629638672,0.040373802185058594,0.0013589859008789062,0.0614776611328125,0.003324747085571289,BME,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
3,0.8333333333333334,9.03089165687561,0.041010141372680664,0.9410765171051025,8.03446340560913,0.013061761856079102,BME,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
4,0.8133333333333334,1.281141996383667,0.03914809226989746,0.7778198719024658,0.4542074203491211,0.006855964660644531,BME,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
5,0.8866666666666667,0.33481311798095703,0.02592778205871582,0.005147218704223633,0.2975902557373047,0.005270242691040039,BME,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
6,0.8066666666666666,2.759256362915039,0.024373292922973633,0.10159802436828613,2.62257981300354,0.009523630142211914,BME,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
7,0.7533333333333333,0.314633846282959,0.05366706848144531,0.0944969654083252,0.1568310260772705,0.00786447525024414,BME,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
8,0.78,0.13129544258117676,0.042485713958740234,0.001363515853881836,0.08221173286437988,0.004511833190917969,BME,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
9,0.8266666666666667,23.613210916519165,0.0416569709777832,1.0029175281524658,22.553653955459595,0.012717723846435547,BME,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
10,0.7933333333333333,1.8928606510162354,0.04018688201904297,0.568462610244751,1.2689213752746582,0.009809494018554688,BME,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
11,0.8533333333333334,1.0840544700622559,0.040483713150024414,0.012350797653198242,1.0248205661773682,0.005212068557739258,BME,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
