,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8,9.143690586090088,0.1408858299255371,4.531454086303711,4.459410190582275,0.007874727249145508,BirdChicken,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.85,159.23250937461853,0.07635664939880371,113.61709880828857,45.518956899642944,0.008778095245361328,BirdChicken,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.85,26.94660258293152,0.13365387916564941,12.535259246826172,14.264870405197144,0.007438182830810547,BirdChicken,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.85,252.41983008384705,0.07609033584594727,113.52170085906982,138.77852511405945,0.01886725425720215,BirdChicken,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.6,12.9890615940094,0.13584566116333008,12.744769811630249,0.09503579139709473,0.003949642181396484,BirdChicken,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.75,119.96445989608765,0.07880282402038574,119.44936347007751,0.42798733711242676,0.006888151168823242,BirdChicken,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.45,11.811225652694702,0.08373308181762695,11.556992769241333,0.16338372230529785,0.005808830261230469,BirdChicken,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.8,104.89678001403809,0.08524703979492188,103.58196973800659,1.2178428173065186,0.009537220001220703,BirdChicken,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.7,0.16190791130065918,0.07715201377868652,0.0007755756378173828,0.07779264450073242,0.004607677459716797,BirdChicken,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.65,0.7991106510162354,0.08170342445373535,0.005384206771850586,0.7061693668365479,0.0029163360595703125,BirdChicken,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.85,0.27535510063171387,0.08347606658935547,0.0010962486267089844,0.17909026145935059,0.009816884994506836,BirdChicken,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.75,1.7203664779663086,0.09121870994567871,0.007771730422973633,1.6149542331695557,0.00452423095703125,BirdChicken,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
