,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.7516483516483516,875.2692375183105,0.7924494743347168,16.452874660491943,857.7311813831329,0.28313112258911133,FiftyWords,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.7714285714285715,5574.933124303818,0.8227696418762207,73.92578506469727,5498.88264465332,1.2522637844085693,FiftyWords,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.7538461538461538,2515.6144886016846,0.7843008041381836,16.620341062545776,2497.4318244457245,0.6999194622039795,FiftyWords,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.7736263736263737,16598.74342060089,0.7803471088409424,108.23628354072571,16486.264457464218,3.3187150955200195,FiftyWords,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.4175824175824176,23.956154584884644,0.8079829216003418,10.549937009811401,12.4438157081604,0.0896153450012207,FiftyWords,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.7054945054945055,175.76200985908508,0.7914581298828125,94.29228329658508,80.57262682914734,0.10361504554748535,FiftyWords,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.6373626373626373,53.12238955497742,0.7787847518920898,13.475692749023438,38.54732418060303,0.31841111183166504,FiftyWords,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.7274725274725274,319.6535665988922,0.7984609603881836,76.8848648071289,241.82849407196045,0.13910603523254395,FiftyWords,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.5164835164835165,15.044683933258057,0.4301574230194092,0.011415243148803711,14.509403228759766,0.08804178237915039,FiftyWords,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.7362637362637363,81.22529721260071,0.825103759765625,0.10350513458251953,80.1671552658081,0.12776756286621094,FiftyWords,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.5978021978021978,41.27989315986633,0.7692763805389404,0.025913715362548828,40.37439846992493,0.10740494728088379,FiftyWords,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.7472527472527473,237.28894901275635,0.8014011383056641,0.14592957496643066,236.16936016082764,0.16922688484191895,FiftyWords,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
