,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8041237113402062,4.457047700881958,0.04214167594909668,0.022537946701049805,3.555168390274048,0.8361794948577881,MiddlePhalanxOutlineCorrect,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.6804123711340206,0.8752157688140869,0.023458480834960938,0.011281967163085938,0.2509627342224121,0.5885083675384521,MiddlePhalanxOutlineCorrect,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
2,0.6804123711340206,0.9643127918243408,0.03159809112548828,0.0010221004486083984,0.15544414520263672,0.7754721641540527,MiddlePhalanxOutlineCorrect,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
3,0.8144329896907216,30.38870096206665,0.01935887336730957,0.10990762710571289,30.10393786430359,0.15471291542053223,MiddlePhalanxOutlineCorrect,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
4,0.7525773195876289,4.13006067276001,0.02369236946105957,0.10515666007995605,2.856403350830078,1.1422502994537354,MiddlePhalanxOutlineCorrect,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
5,0.8144329896907216,3.644035577774048,0.030127763748168945,0.005585670471191406,2.6780784130096436,0.9292759895324707,MiddlePhalanxOutlineCorrect,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
6,0.8247422680412371,9.608722686767578,0.017889022827148438,0.014013051986694336,9.444741010665894,0.13126397132873535,MiddlePhalanxOutlineCorrect,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
7,0.738831615120275,1.660109281539917,0.0426025390625,0.017783403396606445,0.9637796878814697,0.6345961093902588,MiddlePhalanxOutlineCorrect,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
8,0.570446735395189,1.6669723987579346,0.02443528175354004,0.000888824462890625,0.7477867603302002,0.8931434154510498,MiddlePhalanxOutlineCorrect,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
9,0.7800687285223368,92.15491890907288,0.029597043991088867,0.19716119766235352,91.66709637641907,0.25980305671691895,MiddlePhalanxOutlineCorrect,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
10,0.7663230240549829,7.461949825286865,0.04266190528869629,0.14545965194702148,7.092219114303589,0.17930006980895996,MiddlePhalanxOutlineCorrect,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
11,0.8041237113402062,5.8202736377716064,0.019093751907348633,0.004781961441040039,4.295462608337402,1.4999349117279053,MiddlePhalanxOutlineCorrect,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
