,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8079748163693599,0.17154955863952637,0.01753520965576172,0.013272523880004883,0.13315963745117188,0.006720304489135742,SonyAIBORobotSurface2,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.8415529905561385,0.2610139846801758,0.013358831405639648,0.008090972900390625,0.039868831634521484,0.19911694526672363,SonyAIBORobotSurface2,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
2,0.7135362014690452,0.5218071937561035,0.016404390335083008,0.0007145404815673828,0.043732404708862305,0.459963321685791,SonyAIBORobotSurface2,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
3,0.9097586568730325,1.3332765102386475,0.018970727920532227,0.12996506690979004,1.171898603439331,0.011708259582519531,SonyAIBORobotSurface2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
4,0.8405036726128017,0.26842260360717773,0.017637968063354492,0.0931081771850586,0.15273213386535645,0.003941774368286133,SonyAIBORobotSurface2,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
5,0.8016789087093389,0.1424551010131836,0.013365745544433594,0.0043621063232421875,0.11864185333251953,0.0051610469818115234,SonyAIBORobotSurface2,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
6,0.8467995802728226,0.2829000949859619,0.024388551712036133,0.019328832626342773,0.23388934135437012,0.004435539245605469,SonyAIBORobotSurface2,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
7,0.8625393494228751,0.11866497993469238,0.023603200912475586,0.014723777770996094,0.07164835929870605,0.00760650634765625,SonyAIBORobotSurface2,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
8,0.8153200419727177,0.1072688102722168,0.01626276969909668,0.0010559558868408203,0.07361292839050293,0.015818357467651367,SonyAIBORobotSurface2,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
9,0.8919202518363064,2.5221452713012695,0.013598918914794922,0.10888385772705078,2.387727737426758,0.011101961135864258,SonyAIBORobotSurface2,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
10,0.8677859391395593,0.5112557411193848,0.018249034881591797,0.0999755859375,0.3799419403076172,0.010874032974243164,SonyAIBORobotSurface2,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
11,0.8289611752360966,0.3717823028564453,0.0234222412109375,0.011454343795776367,0.3237924575805664,0.01190328598022461,SonyAIBORobotSurface2,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
