,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.7933333333333333,3.6387648582458496,0.02913188934326172,0.03666996955871582,3.5162432193756104,0.05378985404968262,SyntheticControl,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.98,1.7113292217254639,0.04011702537536621,0.03498721122741699,0.4058401584625244,1.2292635440826416,SyntheticControl,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
2,0.98,1.9451756477355957,0.030529499053955078,0.0022056102752685547,0.44597554206848145,1.4656965732574463,SyntheticControl,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
3,0.96,29.645464181900024,0.03262019157409668,0.3838613033294678,29.144771337509155,0.08288717269897461,SyntheticControl,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
4,0.8933333333333333,3.508378028869629,0.03069591522216797,0.25263023376464844,3.122849941253662,0.10039830207824707,SyntheticControl,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
5,0.9333333333333333,2.741767644882202,0.02856135368347168,0.015042304992675781,2.6477155685424805,0.04940223693847656,SyntheticControl,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
6,0.8733333333333333,7.289156675338745,0.020976781845092773,0.02552962303161621,7.181979417800903,0.05985832214355469,SyntheticControl,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
7,0.98,3.001189947128296,0.01868128776550293,0.015723466873168945,1.0438227653503418,1.9212825298309326,SyntheticControl,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
8,0.99,2.4183413982391357,0.03302288055419922,0.0027532577514648438,0.8582429885864258,1.5234484672546387,SyntheticControl,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
9,0.9666666666666667,83.23426699638367,0.02764892578125,0.4517030715942383,82.60806012153625,0.14496374130249023,SyntheticControl,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
10,0.9566666666666667,8.317395448684692,0.0232696533203125,0.23472356796264648,7.994643449783325,0.06128978729248047,SyntheticControl,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
11,0.97,6.233402729034424,0.030201435089111328,0.022037506103515625,6.11641001701355,0.06341409683227539,SyntheticControl,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
