,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.7333333333333333,30.341614246368408,0.23272943496704102,26.64514446258545,3.4547858238220215,0.006495952606201172,Car,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
1,0.4,2.732663869857788,0.23273587226867676,0.04229879379272461,2.4423038959503174,0.013769388198852539,Car,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
2,0.7833333333333333,26.829711437225342,0.14536380767822266,24.418591260910034,2.255293846130371,0.008382320404052734,Car,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
3,0.25,0.6008756160736084,0.15508413314819336,0.005856513977050781,0.08753252029418945,0.3505127429962158,Car,Max ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max ACF
4,0.45,31.205865383148193,0.2319626808166504,30.64913320541382,0.1126244068145752,0.21142959594726562,Car,Max PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max PACF
5,0.6166666666666667,0.7947850227355957,0.12895798683166504,0.0008955001831054688,0.03933286666870117,0.6251318454742432,Car,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
6,0.8,304.3486895561218,0.1570286750793457,271.10948634147644,33.0675733089447,0.013443708419799805,Car,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
7,0.5,19.40028667449951,0.22911334037780762,0.4098331928253174,18.74637007713318,0.013432025909423828,Car,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
8,0.8166666666666667,322.3348433971405,0.23050212860107422,301.6773443222046,20.40350317955017,0.01387643814086914,Car,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
9,0.43333333333333335,2.00130295753479,0.22724294662475586,0.07441139221191406,0.882150411605835,0.8158857822418213,Car,Max ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max ACF
10,0.7166666666666667,283.5783705711365,0.2220325469970703,282.4917907714844,0.3735032081604004,0.4903106689453125,Car,Max PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max PACF
