,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.525,1.7313306331634521,0.09825658798217773,1.4637463092803955,0.15974855422973633,0.008695602416992188,DodgerLoopDay,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.475,15.423502206802368,0.08607935905456543,14.303521394729614,0.9865970611572266,0.042717933654785156,DodgerLoopDay,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.475,2.0799288749694824,0.09570646286010742,1.5601506233215332,0.3939971923828125,0.02176809310913086,DodgerLoopDay,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.425,18.53893256187439,0.08500266075134277,15.55392575263977,2.6985549926757812,0.18492865562438965,DodgerLoopDay,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.4375,2.927886724472046,0.12207508087158203,1.6164960861206055,0.007584810256958008,1.1676125526428223,DodgerLoopDay,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.425,15.135066270828247,0.08475565910339355,15.006690502166748,0.038686275482177734,0.00438237190246582,DodgerLoopDay,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.325,1.9657108783721924,0.08499884605407715,1.8643741607666016,0.012100934982299805,0.0037593841552734375,DodgerLoopDay,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.4375,15.586281299591064,0.1147770881652832,15.362606048583984,0.1015768051147461,0.006597280502319336,DodgerLoopDay,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.6,1.464256763458252,0.08423733711242676,0.0017316341400146484,0.022125959396362305,1.3554527759552002,DodgerLoopDay,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.475,0.14030122756958008,0.08998584747314453,0.013336896896362305,0.03043675422668457,0.005857944488525391,DodgerLoopDay,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.2875,0.11386466026306152,0.0928184986114502,0.002434968948364258,0.010649442672729492,0.007359027862548828,DodgerLoopDay,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.55,0.20818209648132324,0.10411214828491211,0.022150278091430664,0.07140278816223145,0.009672164916992188,DodgerLoopDay,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
