,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.7971014492753623,0.4719088077545166,0.04530739784240723,0.40745997428894043,0.01659369468688965,0.0021355152130126953,DodgerLoopGame,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.782608695652174,5.591616153717041,0.05619168281555176,5.40813684463501,0.11854028701782227,0.007264852523803711,DodgerLoopGame,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.8623188405797102,0.5216989517211914,0.04352068901062012,0.4286060333251953,0.04188895225524902,0.005170106887817383,DodgerLoopGame,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.7898550724637681,5.079538106918335,0.0441586971282959,4.731035470962524,0.2855982780456543,0.013436079025268555,DodgerLoopGame,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.6884057971014492,0.5635287761688232,0.04621124267578125,0.4964640140533447,0.010576725006103516,0.0030035972595214844,DodgerLoopGame,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.7246376811594203,4.195109605789185,0.06350016593933105,4.124066114425659,0.004680156707763672,0.0022881031036376953,DodgerLoopGame,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.7536231884057971,0.4337277412414551,0.044205427169799805,0.38282227516174316,0.004810810089111328,0.001565694808959961,DodgerLoopGame,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.7246376811594203,3.9457168579101562,0.04399895668029785,3.890108585357666,0.009232282638549805,0.0019440650939941406,DodgerLoopGame,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.7318840579710145,0.04832315444946289,0.04373526573181152,0.0005586147308349609,0.002127408981323242,0.0014650821685791016,DodgerLoopGame,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.8260869565217391,0.05205225944519043,0.0430605411529541,0.003900766372680664,0.003341197967529297,0.001478433609008789,DodgerLoopGame,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.717391304347826,0.0507512092590332,0.04555344581604004,0.0011203289031982422,0.0022652149200439453,0.0015184879302978516,DodgerLoopGame,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.7246376811594203,0.05798459053039551,0.04314255714416504,0.005174875259399414,0.007800102233886719,0.0015156269073486328,DodgerLoopGame,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
