,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.84,0.05403447151184082,0.01591014862060547,0.023492097854614258,0.010169267654418945,0.004122734069824219,ECG200,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.88,0.3120129108428955,0.01593613624572754,0.22533583641052246,0.06253933906555176,0.007737636566162109,ECG200,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.87,0.09557485580444336,0.020561695098876953,0.037880659103393555,0.030412912368774414,0.0057909488677978516,ECG200,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.83,0.46581530570983887,0.020368099212646484,0.24782204627990723,0.16865038871765137,0.028031349182128906,ECG200,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.81,0.6720297336578369,0.01702570915222168,0.027893543243408203,0.023486614227294922,0.6010096073150635,ECG200,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.81,0.3323369026184082,0.02701568603515625,0.2922341823577881,0.007869482040405273,0.004678010940551758,ECG200,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.81,0.47452569007873535,0.021947145462036133,0.02354598045349121,0.003811359405517578,0.4248025417327881,ECG200,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.83,0.47873544692993164,0.015730857849121094,0.440540075302124,0.0155029296875,0.006563901901245117,ECG200,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.74,0.6013669967651367,0.02848982810974121,0.0008225440979003906,0.0190432071685791,0.5524027347564697,ECG200,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.85,0.04824519157409668,0.029371023178100586,0.0061223506927490234,0.005159616470336914,0.007017612457275391,ECG200,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.88,0.7355086803436279,0.028452396392822266,0.0010807514190673828,0.0031630992889404297,0.7023162841796875,ECG200,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.89,0.04606819152832031,0.023421525955200195,0.006478786468505859,0.010462522506713867,0.005015850067138672,ECG200,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
