,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.638121546961326,481.73266410827637,1.475060224533081,459.26686358451843,20.82990860939026,0.1554853916168213,EOGVerticalSignal,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.6823204419889503,4438.225260257721,1.5615112781524658,4251.253217220306,182.82657837867737,2.541558027267456,EOGVerticalSignal,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.6298342541436464,416.964102268219,1.659905195236206,361.1182713508606,53.72263979911804,0.4173569679260254,EOGVerticalSignal,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.6823204419889503,4346.429678201675,1.6410877704620361,3796.5863473415375,541.4416527748108,6.64106822013855,EOGVerticalSignal,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.5883977900552486,444.44608426094055,1.436610460281372,440.4584312438965,0.40757012367248535,2.058593988418579,EOGVerticalSignal,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.5359116022099447,3603.1230607032776,0.9208674430847168,3599.8033113479614,2.356424331665039,0.04035162925720215,EOGVerticalSignal,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.5607734806629834,378.7078802585602,0.962958812713623,365.5006465911865,0.9003443717956543,11.342164516448975,EOGVerticalSignal,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.6270718232044199,3273.460645675659,0.8760154247283936,3264.162986278534,8.358838081359863,0.06015634536743164,EOGVerticalSignal,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.569060773480663,4.343761205673218,1.512155294418335,0.0071794986724853516,0.627683162689209,2.194145679473877,EOGVerticalSignal,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.494475138121547,3.74052357673645,0.9795646667480469,0.08001971244812012,2.6438980102539062,0.035333871841430664,EOGVerticalSignal,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.6160220994475138,11.548458337783813,1.4307405948638916,0.007971763610839844,1.286989450454712,8.820707321166992,EOGVerticalSignal,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.6243093922651933,7.161165952682495,1.078153371810913,0.05743694305419922,5.970526695251465,0.05332517623901367,EOGVerticalSignal,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
