,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.54,419.86616492271423,1.0377874374389648,360.4505467414856,58.16064667701721,0.21145272254943848,EthanolLevel,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.584,4256.864573955536,1.9401047229766846,3707.7645444869995,543.8280873298645,3.2753493785858154,EthanolLevel,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.568,465.6320471763611,2.0771524906158447,302.46954011917114,160.40616965293884,0.6236963272094727,EthanolLevel,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.634,4704.546591520309,1.9158458709716797,3020.666016817093,1669.8514194488525,11.965153932571411,EthanolLevel,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.274,367.3718078136444,1.971898078918457,363.000878572464,0.8737249374389648,1.4226622581481934,EthanolLevel,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.46,3719.1466953754425,1.0688602924346924,3712.8658945560455,2.4971466064453125,2.710482597351074,EthanolLevel,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.304,404.8308525085449,1.5153284072875977,400.6420359611511,1.0477757453918457,1.623945713043213,EthanolLevel,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.44,3710.017891407013,1.0395402908325195,3703.1065163612366,5.786159992218018,0.08365964889526367,EthanolLevel,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.406,5.028316497802734,1.2118525505065918,0.0030336380004882812,1.4300305843353271,2.380703926086426,EthanolLevel,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.398,6.733876943588257,1.2113914489746094,0.018121957778930664,2.8509435653686523,2.651170253753662,EthanolLevel,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.366,4.981049060821533,1.064040184020996,0.0034127235412597656,1.3215489387512207,2.58984375,EthanolLevel,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.51,7.059514045715332,1.2564961910247803,0.023055315017700195,5.683242559432983,0.0943899154663086,EthanolLevel,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
