,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,1.0,1.4990031719207764,0.0724179744720459,1.3950631618499756,0.026549816131591797,0.003973960876464844,FaceFour,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,1.0,8.349061250686646,0.07355690002441406,8.045904397964478,0.2132124900817871,0.011111974716186523,FaceFour,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,1.0,1.5331377983093262,0.07273340225219727,1.3503615856170654,0.09838414192199707,0.0069653987884521484,FaceFour,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,1.0,8.751216173171997,0.07254767417907715,8.168068885803223,0.47727036476135254,0.02076244354248047,FaceFour,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.9318181818181818,1.4767177104949951,0.10068607330322266,1.3563337326049805,0.0037183761596679688,0.002369403839111328,FaceFour,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,1.0,8.076133012771606,0.07334160804748535,7.993188381195068,0.006685972213745117,0.0024759769439697266,FaceFour,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,1.0,1.3972702026367188,0.0733790397644043,1.3174312114715576,0.0036818981170654297,0.0022907257080078125,FaceFour,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,1.0,8.07855486869812,0.07319474220275879,7.985088586807251,0.0157015323638916,0.003977298736572266,FaceFour,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.9318181818181818,0.08082747459411621,0.07261419296264648,0.0011518001556396484,0.004654407501220703,0.001909017562866211,FaceFour,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.9886363636363636,0.08659529685974121,0.07313823699951172,0.005218029022216797,0.005919218063354492,0.0019631385803222656,FaceFour,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.9659090909090909,0.07921934127807617,0.07268595695495605,0.001333475112915039,0.003050565719604492,0.0018360614776611328,FaceFour,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.9659090909090909,0.09925293922424316,0.07240009307861328,0.007460594177246094,0.016711950302124023,0.002187013626098633,FaceFour,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
