,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.6923076923076923,11.666391849517822,0.4761009216308594,8.092439651489258,2.8379809856414795,0.2481846809387207,FiftyWords,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.7252747252747253,65.84294939041138,0.8184342384338379,48.63266348838806,14.295266389846802,2.0555195808410645,FiftyWords,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.7164835164835165,18.09189248085022,0.8103749752044678,8.710331916809082,7.659720182418823,0.8744380474090576,FiftyWords,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.7164835164835165,103.4429099559784,0.7458217144012451,50.055866718292236,43.522244453430176,9.01352834701538,FiftyWords,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.36043956043956044,9.097670555114746,0.8003573417663574,8.085932970046997,0.1326732635498047,0.03603100776672363,FiftyWords,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.6527472527472528,45.262664556503296,0.44334864616394043,44.19217777252197,0.5732064247131348,0.05266976356506348,FiftyWords,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.5978021978021978,8.734858751296997,0.4878971576690674,7.877168893814087,0.32053160667419434,0.04732227325439453,FiftyWords,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.6835164835164835,51.91996359825134,0.44379329681396484,49.8161678314209,1.507148027420044,0.1496601104736328,FiftyWords,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.49230769230769234,0.9902060031890869,0.7971212863922119,0.017790794372558594,0.12269783020019531,0.04719972610473633,FiftyWords,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.7120879120879121,1.3132686614990234,0.5791146755218506,0.05399799346923828,0.6100282669067383,0.06876420974731445,FiftyWords,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.5758241758241758,1.28678560256958,0.8478403091430664,0.02425408363342285,0.348146915435791,0.06422281265258789,FiftyWords,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.7032967032967034,2.738964796066284,0.8483066558837891,0.11585187911987305,1.6453678607940674,0.12678003311157227,FiftyWords,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
