,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8947368421052632,0.7711653709411621,0.08418560028076172,0.665729284286499,0.015841007232666016,0.004403352737426758,FreezerSmallTrain,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.9063157894736842,4.613076448440552,0.0656743049621582,4.468555450439453,0.07422780990600586,0.0033130645751953125,FreezerSmallTrain,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.9228070175438596,0.574981689453125,0.08599519729614258,0.450150728225708,0.03386402130126953,0.002843618392944336,FreezerSmallTrain,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.8971929824561403,4.800965785980225,0.0534970760345459,4.538840055465698,0.19625401496887207,0.00937652587890625,FreezerSmallTrain,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.8224561403508772,1.1676857471466064,0.08579421043395996,0.637385368347168,0.0050890445709228516,0.4347531795501709,FreezerSmallTrain,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.8052631578947368,4.9773430824279785,0.07539963722229004,4.893905162811279,0.005510091781616211,0.001990079879760742,FreezerSmallTrain,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.7656140350877193,0.4924135208129883,0.04718637466430664,0.4403402805328369,0.00269317626953125,0.0017673969268798828,FreezerSmallTrain,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.775438596491228,4.435479640960693,0.04741263389587402,4.362508058547974,0.02103257179260254,0.0039768218994140625,FreezerSmallTrain,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.9221052631578948,0.30366945266723633,0.0478520393371582,0.0007026195526123047,0.010378122329711914,0.2440199851989746,FreezerSmallTrain,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.7824561403508772,0.06398129463195801,0.04848814010620117,0.0038843154907226562,0.005409717559814453,0.005769014358520508,FreezerSmallTrain,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.8501754385964913,0.05832386016845703,0.0493776798248291,0.0006825923919677734,0.00457763671875,0.0032787322998046875,FreezerSmallTrain,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.8592982456140351,0.11406946182250977,0.09073901176452637,0.006284475326538086,0.014073371887207031,0.0025572776794433594,FreezerSmallTrain,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
