,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.879746835443038,4.528862476348877,0.14274168014526367,4.1714677810668945,0.1988368034362793,0.014159917831420898,GesturePebbleZ2,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.9430379746835443,48.367178201675415,0.18255138397216797,46.52941417694092,1.5886445045471191,0.06314706802368164,GesturePebbleZ2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.8544303797468354,5.8499791622161865,0.2652771472930908,5.1153717041015625,0.4328739643096924,0.027538776397705078,GesturePebbleZ2,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.9493670886075949,46.66912865638733,0.1835799217224121,41.63051414489746,4.55230712890625,0.2899203300476074,GesturePebbleZ2,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.8481012658227848,5.94238805770874,0.26547670364379883,4.657622814178467,0.024436235427856445,0.9838838577270508,GesturePebbleZ2,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.9113924050632911,43.165157318115234,0.14180207252502441,42.889787435531616,0.11921024322509766,0.013583898544311523,GesturePebbleZ2,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.8164556962025317,4.648139953613281,0.1830461025238037,4.414280891418457,0.043973445892333984,0.00577092170715332,GesturePebbleZ2,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.9367088607594937,42.613062381744385,0.1438431739807129,42.1716787815094,0.28232431411743164,0.014292478561401367,GesturePebbleZ2,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.8670886075949367,1.2502703666687012,0.14208555221557617,0.0017247200012207031,0.028103113174438477,1.077533483505249,GesturePebbleZ2,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.9556962025316456,0.2651989459991455,0.14876055717468262,0.012989521026611328,0.09508609771728516,0.00769495964050293,GesturePebbleZ2,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.689873417721519,0.19805240631103516,0.14140844345092773,0.002431631088256836,0.04423356056213379,0.009544134140014648,GesturePebbleZ2,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.9493670886075949,0.3843410015106201,0.15150117874145508,0.018358230590820312,0.200577974319458,0.013289690017700195,GesturePebbleZ2,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
