,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.9238095238095239,0.1527698040008545,0.03403639793395996,0.09093022346496582,0.021071434020996094,0.006271839141845703,GunPointOldVersusYoung,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.9873015873015873,0.9481267929077148,0.02989363670349121,0.7094571590423584,0.1949939727783203,0.013150453567504883,GunPointOldVersusYoung,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.9206349206349206,0.1618802547454834,0.026021957397460938,0.08668184280395508,0.040406227111816406,0.007403135299682617,GunPointOldVersusYoung,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.9682539682539683,1.2944765090942383,0.03401827812194824,0.9307217597961426,0.29180359840393066,0.03494834899902344,GunPointOldVersusYoung,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.8095238095238095,0.5937352180480957,0.027355194091796875,0.1099090576171875,0.00667881965637207,0.44751763343811035,GunPointOldVersusYoung,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.946031746031746,0.9204821586608887,0.029369592666625977,0.8694322109222412,0.014216899871826172,0.0065460205078125,GunPointOldVersusYoung,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.8920634920634921,0.7409121990203857,0.031659603118896484,0.07816123962402344,0.006095170974731445,0.6246304512023926,GunPointOldVersusYoung,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.9174603174603174,0.7562541961669922,0.03416323661804199,0.6751763820648193,0.03959512710571289,0.006715059280395508,GunPointOldVersusYoung,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.765079365079365,0.3991057872772217,0.025510072708129883,0.000476837158203125,0.006773710250854492,0.3659229278564453,GunPointOldVersusYoung,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.9015873015873016,0.07435441017150879,0.04694676399230957,0.007210493087768555,0.009015083312988281,0.010192155838012695,GunPointOldVersusYoung,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.8539682539682539,0.8395299911499023,0.0471954345703125,0.0012600421905517578,0.007525444030761719,0.782782793045044,GunPointOldVersusYoung,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.9365079365079365,0.09512042999267578,0.0478062629699707,0.010746240615844727,0.025838851928710938,0.009646177291870117,GunPointOldVersusYoung,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
