,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.578125,2.6618740558624268,0.154998779296875,2.3545615673065186,0.14646363258361816,0.005040884017944336,Herring,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.578125,24.56652569770813,0.09248995780944824,23.556851148605347,0.8963117599487305,0.01723337173461914,Herring,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.609375,2.943105459213257,0.13219380378723145,2.4460811614990234,0.35183262825012207,0.009499549865722656,Herring,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.609375,25.504186391830444,0.08997583389282227,22.75938367843628,2.608917236328125,0.04056119918823242,Herring,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.609375,2.9664306640625,0.11900115013122559,2.4776077270507812,0.014820337295532227,0.3482818603515625,Herring,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.4375,21.66207218170166,0.08622479438781738,21.548622608184814,0.024294376373291016,0.002426624298095703,Herring,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.609375,2.6842617988586426,0.08999896049499512,2.161680221557617,0.016593456268310547,0.4152486324310303,Herring,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.484375,23.955098390579224,0.08747172355651855,23.790961503982544,0.07170248031616211,0.004050016403198242,Herring,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.59375,0.42571020126342773,0.09064030647277832,0.0007414817810058594,0.011420488357543945,0.3224020004272461,Herring,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.578125,0.12200355529785156,0.08495211601257324,0.004500389099121094,0.028376340866088867,0.0033578872680664062,Herring,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.578125,0.5220181941986084,0.09002041816711426,0.0010890960693359375,0.03005504608154297,0.40036892890930176,Herring,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.609375,0.17217063903808594,0.08704495429992676,0.005891323089599609,0.07520842552185059,0.003641843795776367,Herring,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
