,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.72,4.110048294067383,0.16286540031433105,3.7948219776153564,0.14168453216552734,0.007717609405517578,PickupGestureWiimoteZ,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.68,19.961353063583374,0.13227128982543945,19.312862396240234,0.4905693531036377,0.01965498924255371,PickupGestureWiimoteZ,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.64,4.310025691986084,0.13267278671264648,3.860762596130371,0.2943711280822754,0.01780390739440918,PickupGestureWiimoteZ,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.7,21.38539743423462,0.13187575340270996,19.910744190216064,1.29392409324646,0.03801274299621582,PickupGestureWiimoteZ,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.2,4.376127481460571,0.27954697608947754,4.073777675628662,0.006914377212524414,0.0026617050170898438,PickupGestureWiimoteZ,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.56,18.418784379959106,0.13124966621398926,18.2591073513031,0.0247647762298584,0.003226041793823242,PickupGestureWiimoteZ,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.46,3.863553524017334,0.13247299194335938,3.7085022926330566,0.018723249435424805,0.0034134387969970703,PickupGestureWiimoteZ,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.68,19.78251600265503,0.13201904296875,19.57442855834961,0.07074141502380371,0.004365444183349609,PickupGestureWiimoteZ,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.36,0.15692782402038574,0.13204383850097656,0.0025866031646728516,0.019194364547729492,0.0024852752685546875,PickupGestureWiimoteZ,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.6,0.17594552040100098,0.13097023963928223,0.010188102722167969,0.030927419662475586,0.003502368927001953,PickupGestureWiimoteZ,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.58,0.15123391151428223,0.1315319538116455,0.0031790733337402344,0.013402938842773438,0.002760171890258789,PickupGestureWiimoteZ,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.58,0.20672988891601562,0.13123345375061035,0.01454305648803711,0.05578923225402832,0.004748821258544922,PickupGestureWiimoteZ,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
