,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.76,4.332007884979248,0.14451074600219727,4.032733678817749,0.14658761024475098,0.007104158401489258,ShakeGestureWiimoteZ,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.8,21.7261061668396,0.14133191108703613,21.040245056152344,0.5179157257080078,0.019369840621948242,ShakeGestureWiimoteZ,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.76,4.517687559127808,0.1805894374847412,3.934859275817871,0.3837554454803467,0.009984016418457031,ShakeGestureWiimoteZ,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.8,22.3862087726593,0.1405625343322754,20.82608914375305,1.3616759777069092,0.03945207595825195,ShakeGestureWiimoteZ,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.42,4.161632299423218,0.1761767864227295,3.9661383628845215,0.006474018096923828,0.0024073123931884766,ShakeGestureWiimoteZ,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.76,19.77722430229187,0.14258861541748047,19.600584030151367,0.029271602630615234,0.004292726516723633,ShakeGestureWiimoteZ,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.58,4.695669174194336,0.19127106666564941,4.473847150802612,0.023909568786621094,0.005685567855834961,ShakeGestureWiimoteZ,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.8,20.858673334121704,0.18860697746276855,20.584964275360107,0.0793001651763916,0.004931211471557617,ShakeGestureWiimoteZ,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.5,0.15967392921447754,0.14576482772827148,0.003088235855102539,0.007813215255737305,0.002500772476196289,ShakeGestureWiimoteZ,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.9,0.17826223373413086,0.1387805938720703,0.01055145263671875,0.024429798126220703,0.0041217803955078125,ShakeGestureWiimoteZ,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.7,0.1664867401123047,0.14164257049560547,0.003439664840698242,0.01806163787841797,0.0028839111328125,ShakeGestureWiimoteZ,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.86,0.21575498580932617,0.14344096183776855,0.014946222305297852,0.05270648002624512,0.004160165786743164,ShakeGestureWiimoteZ,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
