,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.44,2.5757267475128174,0.44358348846435547,0.005701541900634766,0.09760665893554688,2.02712082862854,AllGestureWiimoteX,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.4657142857142857,0.5650789737701416,0.24347233772277832,0.024561643600463867,0.27207088470458984,0.024209022521972656,AllGestureWiimoteX,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.4185714285714286,0.5391530990600586,0.3274679183959961,0.0049648284912109375,0.18390297889709473,0.021862506866455078,AllGestureWiimoteX,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.5371428571428571,1.7276816368103027,0.4383985996246338,0.05681276321411133,1.1809933185577393,0.050179243087768555,AllGestureWiimoteX,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.4785714285714286,11.40496301651001,0.25095105171203613,9.492966651916504,0.06397271156311035,1.595693588256836,AllGestureWiimoteX,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.42857142857142855,96.72157073020935,0.24100112915039062,96.13012027740479,0.326932430267334,0.022666454315185547,AllGestureWiimoteX,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.44571428571428573,10.015379905700684,0.24709224700927734,9.61381196975708,0.13066864013671875,0.02291107177734375,AllGestureWiimoteX,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.6142857142857143,102.56611227989197,0.2428874969482422,101.41019749641418,0.8750996589660645,0.03691840171813965,AllGestureWiimoteX,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.4442857142857143,3.7882583141326904,0.4262828826904297,0.005630970001220703,0.09231448173522949,3.262532949447632,AllGestureWiimoteX,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.44571428571428573,0.5949485301971436,0.2865474224090576,0.024576902389526367,0.2572457790374756,0.02577066421508789,AllGestureWiimoteX,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.4857142857142857,2.9678902626037598,0.28735876083374023,0.003773927688598633,0.13094615936279297,2.544865131378174,AllGestureWiimoteX,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.5442857142857143,1.0728931427001953,0.2412734031677246,0.033625125885009766,0.7644758224487305,0.0326080322265625,AllGestureWiimoteX,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
