,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.46685082872928174,4.001039981842041,1.4158270359039307,0.006318330764770508,0.5587248802185059,2.01745343208313,EOGHorizontalSignal,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.3784530386740331,3.552597999572754,0.8210875988006592,0.042978763580322266,2.650503396987915,0.03680062294006348,EOGHorizontalSignal,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.46685082872928174,10.8804292678833,0.9874062538146973,0.006257057189941406,1.1768839359283447,8.708131074905396,EOGHorizontalSignal,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.48066298342541436,7.255890846252441,1.1462147235870361,0.0579380989074707,5.9976418018341064,0.05205225944519043,EOGHorizontalSignal,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.5193370165745856,467.23779225349426,1.4798495769500732,463.16938519477844,0.4285299777984619,2.157846212387085,EOGHorizontalSignal,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.3784530386740331,4944.185140132904,1.472421646118164,4940.264119386673,2.411769151687622,0.03522920608520508,EOGHorizontalSignal,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.494475138121547,467.28096556663513,0.9386398792266846,456.88045024871826,0.9291999340057373,8.530800342559814,EOGHorizontalSignal,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.4116022099447514,4721.6493401527405,0.8497104644775391,4714.379860639572,6.360633134841919,0.05672335624694824,EOGHorizontalSignal,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.5193370165745856,4.284994125366211,1.403963565826416,0.006532192230224609,0.5921134948730469,2.2801849842071533,EOGHorizontalSignal,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.4281767955801105,3.4352805614471436,0.7987220287322998,0.03950381278991699,2.561030864715576,0.03507661819458008,EOGHorizontalSignal,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.4530386740331492,10.657235622406006,0.8973793983459473,0.0062024593353271484,1.1493244171142578,8.602843284606934,EOGHorizontalSignal,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.44751381215469616,7.019420146942139,0.9233448505401611,0.051920175552368164,5.9949352741241455,0.047368526458740234,EOGHorizontalSignal,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
