,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.3894230769230769,4.801003932952881,3.5122225284576416,0.02508687973022461,1.2502202987670898,0.011426925659179688,PigCVP,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.38461538461538464,5.525189161300659,3.4541501998901367,0.04705238342285156,2.0097672939300537,0.012207746505737305,PigCVP,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.375,5.568891525268555,2.866398572921753,0.029668807983398438,2.6575145721435547,0.013374567031860352,PigCVP,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.4326923076923077,7.856717586517334,3.4978809356689453,0.05981278419494629,4.280957937240601,0.01608586311340332,PigCVP,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.5913461538461539,6599.442658424377,3.4820523262023926,6594.974917173386,0.9681158065795898,0.014864206314086914,PigCVP,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.6009615384615384,14324.39211344719,3.3990390300750732,14319.289568424225,1.6866035461425781,0.014040231704711914,PigCVP,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.5384615384615384,7095.434547662735,3.404268264770508,7089.523973226547,2.4878997802734375,0.015571355819702148,PigCVP,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.6009615384615384,13456.003276348114,3.2137019634246826,13448.473096609116,4.2945122718811035,0.018726110458374023,PigCVP,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.41346153846153844,4.472819089889526,3.320993185043335,0.025788068771362305,1.1122627258300781,0.01143956184387207,PigCVP,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.39903846153846156,5.662809610366821,3.4233617782592773,0.04693126678466797,2.1765782833099365,0.014458417892456055,PigCVP,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.40865384615384615,6.21777081489563,3.436767101287842,0.03009819984436035,2.734623670578003,0.014429807662963867,PigCVP,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.4519230769230769,7.077197313308716,2.763176441192627,0.05918622016906738,4.234855651855469,0.017356157302856445,PigCVP,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
