,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.6992753623188406,52.83074998855591,0.017940044403076172,1.3695523738861084,51.29616165161133,0.14488744735717773,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,ACF&PACF
1,0.7137681159420289,13.529937744140625,0.031184673309326172,0.022243022918701172,13.279415607452393,0.19492006301879883,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,ACF&PACF
2,0.7137681159420289,2035.282145500183,0.02413177490234375,1.9851179122924805,2031.3023128509521,1.9341280460357666,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF&PACF
3,0.6920289855072463,17.715209245681763,0.03239774703979492,0.2547478675842285,17.243839025497437,0.16216349601745605,DistalPhalanxOutlineCorrect,ACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,ACF
4,0.6630434782608695,5.178559303283691,0.020574092864990234,0.002745389938354492,5.036173343658447,0.11562037467956543,DistalPhalanxOutlineCorrect,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,ACF
5,0.6413043478260869,668.3564033508301,0.023647308349609375,0.29051637649536133,667.3062210083008,0.7247219085693359,DistalPhalanxOutlineCorrect,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF
6,0.7318840579710145,35.71041131019592,0.033640146255493164,2.1771936416625977,33.340173959732056,0.15070557594299316,DistalPhalanxOutlineCorrect,PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,PACF
7,0.7246376811594203,8.71615982055664,0.04214024543762207,0.023670673370361328,8.510737657546997,0.13770413398742676,DistalPhalanxOutlineCorrect,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,PACF
8,0.7101449275362319,1339.2194695472717,0.03319740295410156,2.0099198818206787,1335.6051280498505,1.5206904411315918,DistalPhalanxOutlineCorrect,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,PACF
9,0.6594202898550725,6.327879428863525,0.033171653747558594,0.1957705020904541,5.979716062545776,0.10109806060791016,DistalPhalanxOutlineCorrect,Max ACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,Max ACF
