,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.9368318756073858,0.1463179588317871,0.01881718635559082,0.08031272888183594,0.03657341003417969,0.010127782821655273,ItalyPowerDemand,ACF&PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,ACF&PACF
1,0.9310009718172984,0.07455635070800781,0.011803627014160156,0.012532949447631836,0.04467463493347168,0.004875898361206055,ItalyPowerDemand,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,ACF&PACF
2,0.9494655004859086,0.41721153259277344,0.0070343017578125,0.06213498115539551,0.32802534103393555,0.019399642944335938,ItalyPowerDemand,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF&PACF
3,0.9543245869776482,0.423076868057251,0.005205392837524414,0.016906261444091797,0.016648292541503906,0.3838064670562744,ItalyPowerDemand,ACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,ACF
4,0.9436345966958212,0.4643831253051758,0.0061228275299072266,0.0014491081237792969,0.030476093292236328,0.4252443313598633,ItalyPowerDemand,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,ACF
5,0.9426627793974732,0.1706392765045166,0.005736351013183594,0.027503490447998047,0.12047696113586426,0.016046762466430664,ItalyPowerDemand,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF
6,0.9416909620991254,0.11202168464660645,0.016350984573364258,0.04131031036376953,0.0369570255279541,0.0168154239654541,ItalyPowerDemand,PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,PACF
7,0.9455782312925171,0.446181058883667,0.0055828094482421875,0.002448558807373047,0.03697037696838379,0.38971686363220215,ItalyPowerDemand,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,PACF
8,0.9504373177842566,0.39488983154296875,0.005953550338745117,0.04203391075134277,0.3284304141998291,0.017415285110473633,ItalyPowerDemand,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,PACF
9,0.9630709426627794,0.3717381954193115,0.016231536865234375,0.01674628257751465,0.04224133491516113,0.29489898681640625,ItalyPowerDemand,Max ACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,Max ACF
