,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.7611111111111111,9.27919054031372,0.13727164268493652,8.872580528259277,0.2582731246948242,0.009615898132324219,ShapeletSim,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
1,0.5166666666666667,0.24927496910095215,0.07835936546325684,0.002696990966796875,0.047878265380859375,0.11841273307800293,ShapeletSim,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
2,0.9222222222222223,10.52011251449585,0.10226273536682129,10.142675638198853,0.2663435935974121,0.008169412612915039,ShapeletSim,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
3,0.4,0.18436741828918457,0.07606911659240723,0.0022847652435302734,0.03283810615539551,0.07237648963928223,ShapeletSim,Max ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max ACF
4,0.6166666666666667,10.071154594421387,0.07713031768798828,9.889344692230225,0.02663874626159668,0.0715186595916748,ShapeletSim,Max PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max PACF
5,0.5944444444444444,0.16841650009155273,0.07985687255859375,0.0007801055908203125,0.00927877426147461,0.07770085334777832,ShapeletSim,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
6,0.8888888888888888,103.59938740730286,0.0789177417755127,101.24090456962585,2.265338659286499,0.007396697998046875,ShapeletSim,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
7,0.9833333333333333,0.4212608337402344,0.0771486759185791,0.023540735244750977,0.31343555450439453,0.0058994293212890625,ShapeletSim,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
8,0.9,78.23374247550964,0.14766597747802734,75.840407371521,2.2350361347198486,0.008503437042236328,ShapeletSim,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
9,0.6388888888888888,0.2341935634613037,0.0761713981628418,0.018346071243286133,0.13130974769592285,0.007194042205810547,ShapeletSim,Max ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max ACF
10,0.6888888888888889,83.04993414878845,0.08727550506591797,82.8773307800293,0.08135843276977539,0.0028808116912841797,ShapeletSim,Max PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max PACF
11,0.5,0.16846394538879395,0.08058452606201172,0.0038650035858154297,0.07489871978759766,0.002624034881591797,ShapeletSim,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
12,0.8833333333333333,87.64358496665955,0.07894396781921387,85.26573944091797,2.2898521423339844,0.007548093795776367,ShapeletSim,ACF&PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,ACF&PACF
13,0.8777777777777778,0.5408840179443359,0.1371917724609375,0.04285454750061035,0.3503577709197998,0.009407520294189453,ShapeletSim,ACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,ACF
14,0.8833333333333333,88.16973209381104,0.07731151580810547,85.828209400177,2.2533674240112305,0.00905156135559082,ShapeletSim,PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,PACF
15,0.7555555555555555,0.24512267112731934,0.0802760124206543,0.01942920684814453,0.13795065879821777,0.0054073333740234375,ShapeletSim,Max ACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,Max ACF
16,0.7777777777777778,93.99403381347656,0.10418868064880371,93.78334856033325,0.10108304023742676,0.003981590270996094,ShapeletSim,Max PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,Max PACF
17,0.8888888888888888,0.17515873908996582,0.08056330680847168,0.0034456253051757812,0.08634757995605469,0.003910064697265625,ShapeletSim,None: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,None
18,0.9,92.72930455207825,0.09412455558776855,90.332937002182,2.288259744644165,0.0068874359130859375,ShapeletSim,ACF&PACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,ACF&PACF
19,0.8833333333333333,0.4595627784729004,0.09391498565673828,0.03285717964172363,0.32698893547058105,0.004206418991088867,ShapeletSim,ACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,ACF
20,0.8944444444444445,93.88350939750671,0.0770256519317627,91.57583045959473,2.218531370162964,0.010966062545776367,ShapeletSim,PACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,PACF
21,0.6777777777777778,0.24553275108337402,0.07567214965820312,0.018183469772338867,0.14136528968811035,0.008943557739257812,ShapeletSim,Max ACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,Max ACF
22,0.6888888888888889,93.28104639053345,0.08336448669433594,93.09464359283447,0.09749007225036621,0.004086732864379883,ShapeletSim,Max PACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,Max PACF
23,0.5,0.15657567977905273,0.07829880714416504,0.003854036331176758,0.07016921043395996,0.0031828880310058594,ShapeletSim,None: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,None
24,0.8833333333333333,82.11374497413635,0.07977890968322754,79.73532104492188,2.289355754852295,0.00741887092590332,ShapeletSim,ACF&PACF: n_random_points=1 nb_inst_per_class=100,1,100,Rsast,ACF&PACF
25,0.9722222222222222,0.4624307155609131,0.09217977523803711,0.036031246185302734,0.32264232635498047,0.009811878204345703,ShapeletSim,ACF: n_random_points=1 nb_inst_per_class=100,1,100,Rsast,ACF
26,0.8611111111111112,101.83443260192871,0.07681608200073242,99.51378798484802,2.233039617538452,0.009290218353271484,ShapeletSim,PACF: n_random_points=1 nb_inst_per_class=100,1,100,Rsast,PACF
27,0.8,0.2366633415222168,0.07620644569396973,0.018340587615966797,0.13788270950317383,0.002921581268310547,ShapeletSim,Max ACF: n_random_points=1 nb_inst_per_class=100,1,100,Rsast,Max ACF
28,0.5666666666666667,63.61158299446106,0.08306288719177246,63.43048405647278,0.0915071964263916,0.0048449039459228516,ShapeletSim,Max PACF: n_random_points=1 nb_inst_per_class=100,1,100,Rsast,Max PACF
29,0.6444444444444445,0.17800211906433105,0.07694768905639648,0.0036978721618652344,0.08619379997253418,0.003976345062255859,ShapeletSim,None: n_random_points=1 nb_inst_per_class=100,1,100,Rsast,None
30,0.95,12.701014518737793,0.1411879062652588,10.605774164199829,1.938915729522705,0.005857706069946289,ShapeletSim,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
31,0.8277777777777777,0.3773832321166992,0.07618999481201172,0.0027618408203125,0.29381752014160156,0.003311634063720703,ShapeletSim,ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF
32,0.85,13.134462118148804,0.0811610221862793,10.808177709579468,2.237513780593872,0.006506681442260742,ShapeletSim,PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,PACF
33,0.5611111111111111,0.1865706443786621,0.07719802856445312,0.0024809837341308594,0.10176253318786621,0.003680706024169922,ShapeletSim,Max ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max ACF
34,0.6388888888888888,11.197484016418457,0.10260915756225586,11.003705024719238,0.08725142478942871,0.002801656723022461,ShapeletSim,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
35,0.5333333333333333,0.1797623634338379,0.08121013641357422,0.0006487369537353516,0.08983397483825684,0.002962827682495117,ShapeletSim,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
36,0.8777777777777778,113.65180563926697,0.09432649612426758,90.82673144340515,22.718157529830933,0.010530471801757812,ShapeletSim,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
37,0.9833333333333333,3.0450119972229004,0.12785601615905762,0.042220354080200195,2.864938497543335,0.00735926628112793,ShapeletSim,ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF
38,0.8944444444444445,69.21425271034241,0.08735132217407227,46.49180197715759,22.62268352508545,0.009331464767456055,ShapeletSim,PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,PACF
39,0.9611111111111111,1.2467060089111328,0.07644939422607422,0.01878666877746582,1.1457688808441162,0.0041735172271728516,ShapeletSim,Max ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max ACF
40,0.8222222222222222,64.19315695762634,0.07571721076965332,63.685044288635254,0.42157983779907227,0.008951902389526367,ShapeletSim,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
41,0.5055555555555555,0.5485525131225586,0.0778203010559082,0.00505828857421875,0.45713281631469727,0.006357669830322266,ShapeletSim,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
42,0.8833333333333333,108.62219715118408,0.09484624862670898,85.38748455047607,23.128414392471313,0.008692741394042969,ShapeletSim,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,Rsast,ACF&PACF
43,0.9722222222222222,3.129546880722046,0.16870641708374023,0.04915761947631836,2.9006412029266357,0.0075206756591796875,ShapeletSim,ACF: n_random_points=10 nb_inst_per_class=30,10,30,Rsast,ACF
44,0.8722222222222222,80.41593432426453,0.1491544246673584,57.452099084854126,22.794644117355347,0.015422821044921875,ShapeletSim,PACF: n_random_points=10 nb_inst_per_class=30,10,30,Rsast,PACF
45,0.9888888888888889,1.3563032150268555,0.16039156913757324,0.03456425666809082,1.1521484851837158,0.003885507583618164,ShapeletSim,Max ACF: n_random_points=10 nb_inst_per_class=30,10,30,Rsast,Max ACF
46,0.8222222222222222,100.36545085906982,0.10547041893005371,99.82610440254211,0.4257059097290039,0.006750822067260742,ShapeletSim,Max PACF: n_random_points=10 nb_inst_per_class=30,10,30,Rsast,Max PACF
47,0.5,0.6901552677154541,0.08781147003173828,0.004535675048828125,0.5854549407958984,0.011129140853881836,ShapeletSim,None: n_random_points=10 nb_inst_per_class=30,10,30,Rsast,None
48,0.8833333333333333,138.36033248901367,0.09604763984680176,115.37611985206604,22.87430453300476,0.011433839797973633,ShapeletSim,ACF&PACF: n_random_points=10 nb_inst_per_class=50,10,50,Rsast,ACF&PACF
49,0.9944444444444445,3.068955421447754,0.1360478401184082,0.04564833641052246,2.8753485679626465,0.006563663482666016,ShapeletSim,ACF: n_random_points=10 nb_inst_per_class=50,10,50,Rsast,ACF
