,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.9,0.17437243461608887,0.0049495697021484375,0.07025814056396484,0.08491182327270508,0.01302647590637207,SmoothSubspace,ACF&PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,ACF&PACF
1,0.7,0.040139198303222656,0.005205392837524414,0.004106998443603516,0.027196168899536133,0.002794981002807617,SmoothSubspace,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,ACF&PACF
2,0.8866666666666667,0.7224876880645752,0.0046041011810302734,0.08377790451049805,0.6200895309448242,0.013564586639404297,SmoothSubspace,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF&PACF
3,0.8466666666666667,0.09612607955932617,0.004418611526489258,0.02879953384399414,0.05435299873352051,0.007749080657958984,SmoothSubspace,ACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,ACF
4,0.6133333333333333,0.038114309310913086,0.004849672317504883,0.0024361610412597656,0.027288198471069336,0.002956867218017578,SmoothSubspace,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,ACF
5,0.86,0.3249192237854004,0.003167867660522461,0.022855520248413086,0.2802870273590088,0.012634992599487305,SmoothSubspace,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF
6,0.8733333333333333,0.1419992446899414,0.005189180374145508,0.03903365135192871,0.08398985862731934,0.013126850128173828,SmoothSubspace,PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,PACF
7,0.74,0.04991555213928223,0.005731821060180664,0.003042936325073242,0.03658342361450195,0.00347137451171875,SmoothSubspace,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,PACF
8,0.8933333333333333,0.5940907001495361,0.005054950714111328,0.05656886100769043,0.5172066688537598,0.014690637588500977,SmoothSubspace,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,PACF
9,0.8266666666666667,0.11024236679077148,0.004952430725097656,0.029101133346557617,0.06441736221313477,0.010071039199829102,SmoothSubspace,Max ACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,Max ACF
10,0.5866666666666667,0.03829479217529297,0.004254579544067383,0.0015099048614501953,0.029583215713500977,0.0024423599243164062,SmoothSubspace,Max ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,Max ACF
11,0.8,0.3604702949523926,0.0038864612579345703,0.02337932586669922,0.32158398628234863,0.011254310607910156,SmoothSubspace,Max ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,Max ACF
12,0.9,0.10330653190612793,0.004094362258911133,0.03172802925109863,0.05789613723754883,0.00876307487487793,SmoothSubspace,Max PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,Max PACF
13,0.6266666666666667,0.039261817932128906,0.0035927295684814453,0.001842498779296875,0.02953648567199707,0.003851652145385742,SmoothSubspace,Max PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,Max PACF
14,0.8733333333333333,0.37853097915649414,0.0050275325775146484,0.03925943374633789,0.3215823173522949,0.012172698974609375,SmoothSubspace,Max PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,Max PACF
15,0.84,0.07124924659729004,0.005023002624511719,0.006624698638916016,0.04948782920837402,0.009339332580566406,SmoothSubspace,None: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,None
16,0.72,0.03478050231933594,0.004344940185546875,0.0006160736083984375,0.026838302612304688,0.0025146007537841797,SmoothSubspace,None: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,None
17,0.82,0.28460192680358887,0.0038764476776123047,0.0077533721923828125,0.2616579532623291,0.010951757431030273,SmoothSubspace,None: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,None
18,0.8533333333333334,0.7426702976226807,0.004092216491699219,0.05400419235229492,0.6685588359832764,0.015435457229614258,SmoothSubspace,ACF&PACF: n_random_points=10 nb_inst_per_class=(max instances per class)//2,10,(max instances per class)//2,Rsast,ACF&PACF
