,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8866736621196223,0.6876957416534424,0.01396799087524414,0.597780704498291,0.04039931297302246,0.03467226028442383,SonyAIBORobotSurface2,ACF&PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,ACF&PACF
1,0.8740818467995802,0.28059935569763184,0.013785123825073242,0.024062633514404297,0.23192048072814941,0.01019597053527832,SonyAIBORobotSurface2,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,ACF&PACF
2,0.906610703043022,1.4654405117034912,0.027736663818359375,0.16953587532043457,1.256546974182129,0.010117530822753906,SonyAIBORobotSurface2,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF&PACF
3,0.6442812172088143,0.27493739128112793,0.02070784568786621,0.010624408721923828,0.008713245391845703,0.23313260078430176,SonyAIBORobotSurface2,ACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,ACF
4,0.6810073452256034,0.06365203857421875,0.03154706954956055,0.0016360282897949219,0.026498794555664062,0.0033478736877441406,SonyAIBORobotSurface2,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,ACF
5,0.70199370409234,0.30560827255249023,0.013653993606567383,0.01984572410583496,0.2679452896118164,0.0032770633697509766,SonyAIBORobotSurface2,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF
6,0.8961175236096537,0.15436553955078125,0.01912665367126465,0.10129976272583008,0.025909423828125,0.007155418395996094,SonyAIBORobotSurface2,PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,PACF
7,0.8929695697796433,0.25573253631591797,0.013447284698486328,0.023578405380249023,0.20761942863464355,0.010219812393188477,SonyAIBORobotSurface2,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,PACF
8,0.8982161594963274,1.1629204750061035,0.013149738311767578,0.12789630889892578,1.0169436931610107,0.004022359848022461,SonyAIBORobotSurface2,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,PACF
9,0.6044071353620147,0.4769127368927002,0.017092227935791016,0.008540630340576172,0.008251667022705078,0.44070863723754883,SonyAIBORobotSurface2,Max ACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,Max ACF
10,0.6169989506820567,0.058241844177246094,0.025527000427246094,0.002145051956176758,0.02501678466796875,0.004929780960083008,SonyAIBORobotSurface2,Max ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,Max ACF
11,0.7523609653725079,0.1523737907409668,0.015735626220703125,0.010591745376586914,0.12109827995300293,0.003662109375,SonyAIBORobotSurface2,Max ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,Max ACF
12,0.8436516264428122,0.4027736186981201,0.011747598648071289,0.09071969985961914,0.0038166046142578125,0.2958533763885498,SonyAIBORobotSurface2,Max PACF: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,Max PACF
13,0.8016789087093389,0.06101059913635254,0.015487194061279297,0.018877506256103516,0.023141145706176758,0.003044605255126953,SonyAIBORobotSurface2,Max PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,Max PACF
14,0.8541448058761805,0.3201117515563965,0.024471759796142578,0.12181258201599121,0.1696770191192627,0.0033469200134277344,SonyAIBORobotSurface2,Max PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,Max PACF
15,0.7911857292759706,0.49898624420166016,0.011873960494995117,0.0018410682678222656,0.002858877182006836,0.4818243980407715,SonyAIBORobotSurface2,None: n_random_points=1 nb_inst_per_class=(max instances per class)//2,1,(max instances per class)//2,Rsast,None
16,0.7030430220356768,0.08735013008117676,0.04034423828125,0.01569223403930664,0.028169870376586914,0.0026733875274658203,SonyAIBORobotSurface2,None: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast,None
17,0.8803777544596013,0.13277935981750488,0.01614999771118164,0.005604982376098633,0.10700321197509766,0.003261566162109375,SonyAIBORobotSurface2,None: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,None
18,0.8961175236096537,0.6303589344024658,0.019750595092773438,0.17352533340454102,0.4313931465148926,0.00446772575378418,SonyAIBORobotSurface2,ACF&PACF: n_random_points=10 nb_inst_per_class=(max instances per class)//2,10,(max instances per class)//2,Rsast,ACF&PACF
19,0.9024134312696747,1.8467082977294922,0.012171506881713867,0.18297410011291504,1.6395721435546875,0.010815143585205078,SonyAIBORobotSurface2,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=10,(lenthg ts)//2,10,Rsast,ACF&PACF
20,0.906610703043022,1.4225835800170898,0.015552520751953125,0.14103126525878906,1.2543866634368896,0.009135007858276367,SonyAIBORobotSurface2,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF&PACF
21,0.6327387198321092,0.07792544364929199,0.012702226638793945,0.007997989654541016,0.052168846130371094,0.003438711166381836,SonyAIBORobotSurface2,ACF: n_random_points=10 nb_inst_per_class=(max instances per class)//2,10,(max instances per class)//2,Rsast,ACF
22,0.7869884575026233,0.3436915874481201,0.012663841247558594,0.017156362533569336,0.30870771408081055,0.004438877105712891,SonyAIBORobotSurface2,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=10,(lenthg ts)//2,10,Rsast,ACF
23,0.8069254984260231,0.3155026435852051,0.01309514045715332,0.013476848602294922,0.26764965057373047,0.017402172088623047,SonyAIBORobotSurface2,ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,ACF
24,0.906610703043022,0.37951064109802246,0.01284027099609375,0.13009238243103027,0.22614812850952148,0.008893728256225586,SonyAIBORobotSurface2,PACF: n_random_points=10 nb_inst_per_class=(max instances per class)//2,10,(max instances per class)//2,Rsast,PACF
25,0.8982161594963274,1.7363014221191406,0.03358292579650879,0.2445683479309082,1.4442362785339355,0.005402088165283203,SonyAIBORobotSurface2,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=10,(lenthg ts)//2,10,Rsast,PACF
26,0.9171038824763903,1.181614875793457,0.0268099308013916,0.1437990665435791,1.0013597011566162,0.006445884704589844,SonyAIBORobotSurface2,PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,PACF
27,0.6967471143756558,0.07406759262084961,0.015305757522583008,0.009384632110595703,0.038443803787231445,0.0029022693634033203,SonyAIBORobotSurface2,Max ACF: n_random_points=10 nb_inst_per_class=(max instances per class)//2,10,(max instances per class)//2,Rsast,Max ACF
28,0.8268625393494229,0.3451704978942871,0.0221560001373291,0.016951799392700195,0.29673194885253906,0.008196353912353516,SonyAIBORobotSurface2,Max ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=10,(lenthg ts)//2,10,Rsast,Max ACF
29,0.683105981112277,0.21924090385437012,0.016330957412719727,0.011536836624145508,0.17401456832885742,0.016103506088256836,SonyAIBORobotSurface2,Max ACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=(max instances per class)//2,(lenthg ts)//2,(max instances per class)//2,Rsast,Max ACF
30,0.8982161594963274,0.1979382038116455,0.0156862735748291,0.11545467376708984,0.062238454818725586,0.003695964813232422,SonyAIBORobotSurface2,Max PACF: n_random_points=10 nb_inst_per_class=(max instances per class)//2,10,(max instances per class)//2,Rsast,Max PACF
31,0.8709338929695698,0.5109462738037109,0.016483545303344727,0.2477271556854248,0.24259448051452637,0.003414630889892578,SonyAIBORobotSurface2,Max PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=10,(lenthg ts)//2,10,Rsast,Max PACF
