,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.9833333333333333,1.993492603302002,0.03065347671508789,0.03582429885864258,0.4744107723236084,1.4502100944519043,SyntheticControl,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
1,0.62,1.3869638442993164,0.030826091766357422,0.005971670150756836,0.17118620872497559,1.1781747341156006,SyntheticControl,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
2,0.9833333333333333,1.2345588207244873,0.031189918518066406,0.027721166610717773,0.40108609199523926,0.7739043235778809,SyntheticControl,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
3,0.5266666666666666,0.814009428024292,0.01877284049987793,0.0025527477264404297,0.07453441619873047,0.7118391990661621,SyntheticControl,Max ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max ACF
4,0.9266666666666666,0.7283191680908203,0.019298315048217773,0.01475834846496582,0.06133294105529785,0.6274945735931396,SyntheticControl,Max PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max PACF
5,0.8866666666666667,0.6661210060119629,0.01868748664855957,0.0009496212005615234,0.044239044189453125,0.6017694473266602,SyntheticControl,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
6,0.8233333333333334,3.9005072116851807,0.018426179885864258,0.1844494342803955,3.6488568782806396,0.04808473587036133,SyntheticControl,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
7,0.7866666666666666,2.978614568710327,0.021328210830688477,0.03558158874511719,1.318781852722168,1.601919174194336,SyntheticControl,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
8,0.7733333333333333,3.1643495559692383,0.04686856269836426,0.3105051517486572,2.6296913623809814,0.17561078071594238,SyntheticControl,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
9,0.8633333333333333,2.11728572845459,0.025835752487182617,0.030388355255126953,0.4867837429046631,1.572798728942871,SyntheticControl,Max ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max ACF
10,0.9933333333333333,1.9344887733459473,0.032684326171875,0.2476789951324463,0.40786004066467285,1.244971513748169,SyntheticControl,Max PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max PACF
11,0.9733333333333334,1.756852626800537,0.03227543830871582,0.011940240859985352,0.3434760570526123,1.363243818283081,SyntheticControl,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
12,0.9433333333333334,9.71529245376587,0.02212238311767578,0.5766892433166504,9.024673461914062,0.09087872505187988,SyntheticControl,ACF&PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,ACF&PACF
13,0.8233333333333334,4.0335352420806885,0.028110027313232422,0.10791850090026855,3.758424997329712,0.13683247566223145,SyntheticControl,ACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,ACF
14,0.95,7.905719041824341,0.02020573616027832,0.4937920570373535,7.332338333129883,0.05747818946838379,SyntheticControl,PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,PACF
15,0.9333333333333333,3.9144833087921143,0.02986931800842285,0.10436820983886719,1.5482196807861328,2.2306675910949707,SyntheticControl,Max ACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,Max ACF
16,0.9933333333333333,3.712836742401123,0.04401516914367676,0.7379729747772217,1.1929872035980225,1.7362499237060547,SyntheticControl,Max PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,Max PACF
17,0.9933333333333333,2.886305570602417,0.04384255409240723,0.04404282569885254,1.1748762130737305,1.622089147567749,SyntheticControl,None: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,None
