,accuracy,time,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name
0,0.8769230769230769,21.097628355026245,ToeSegmentation2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
1,0.8307692307692308,104.0360963344574,ToeSegmentation2,min_shapelet_length=3 max_shapelet_length=342,0,0,SAST
2,0.8461538461538461,16.644060373306274,ToeSegmentation2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
3,0.9,103.35367703437805,ToeSegmentation2,min_shapelet_length=3 max_shapelet_length=342,0,0,SAST
4,0.9,16.19629740715027,ToeSegmentation2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
5,0.9153846153846154,99.9948742389679,ToeSegmentation2,min_shapelet_length=3 max_shapelet_length=342,0,0,SAST
6,0.9076923076923077,13.841989517211914,ToeSegmentation2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
7,0.8153846153846154,94.63934111595154,ToeSegmentation2,min_shapelet_length=3 max_shapelet_length=342,0,0,SAST
8,0.9076923076923077,14.030535697937012,ToeSegmentation2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
9,0.8461538461538461,94.11829376220703,ToeSegmentation2,min_shapelet_length=3 max_shapelet_length=342,0,0,SAST
10,0.9572400388726919,0.0571141242980957,ItalyPowerDemand,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
11,0.9640427599611273,0.05526113510131836,ItalyPowerDemand,min_shapelet_length=3 max_shapelet_length=23,0,0,SAST
12,0.9484936831875608,0.07319164276123047,ItalyPowerDemand,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
13,0.9611273080660836,0.054180145263671875,ItalyPowerDemand,min_shapelet_length=3 max_shapelet_length=23,0,0,SAST
14,0.9523809523809523,0.0885927677154541,ItalyPowerDemand,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
15,0.9611273080660836,0.07398629188537598,ItalyPowerDemand,min_shapelet_length=3 max_shapelet_length=23,0,0,SAST
16,0.9426627793974732,0.09734487533569336,ItalyPowerDemand,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
17,0.9523809523809523,0.06884384155273438,ItalyPowerDemand,min_shapelet_length=3 max_shapelet_length=23,0,0,SAST
18,0.9533527696793003,0.10645341873168945,ItalyPowerDemand,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
19,0.9455782312925171,0.06807684898376465,ItalyPowerDemand,min_shapelet_length=3 max_shapelet_length=23,0,0,SAST
20,0.8666666666666667,0.08733582496643066,SmoothSubspace,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
21,0.9,0.10431599617004395,SmoothSubspace,min_shapelet_length=3 max_shapelet_length=14,0,0,SAST
22,0.8866666666666667,0.090606689453125,SmoothSubspace,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
23,0.8466666666666667,0.046442508697509766,SmoothSubspace,min_shapelet_length=3 max_shapelet_length=14,0,0,SAST
24,0.8733333333333333,0.10230493545532227,SmoothSubspace,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
25,0.8133333333333334,0.02874135971069336,SmoothSubspace,min_shapelet_length=3 max_shapelet_length=14,0,0,SAST
