,accuracy,time,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name
0,0.8646379853095488,0.2581198215484619,SonyAIBORobotSurface2,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
1,0.9160545645330536,0.6748785972595215,SonyAIBORobotSurface2,num_kernels=10_000,0,0,Rocket
2,0.8866736621196223,1.500584363937378,SonyAIBORobotSurface2,min_shapelet_length=3 max_shapelet_length=65,0,0,SAST
3,0.8992654774396642,0.26833391189575195,SonyAIBORobotSurface2,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
4,0.9223504721930745,0.6751894950866699,SonyAIBORobotSurface2,num_kernels=10_000,0,0,Rocket
5,0.8677859391395593,1.5083339214324951,SonyAIBORobotSurface2,min_shapelet_length=3 max_shapelet_length=65,0,0,SAST
6,0.8551941238195173,0.24691271781921387,SonyAIBORobotSurface2,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
7,0.9181532004197271,0.6766562461853027,SonyAIBORobotSurface2,num_kernels=10_000,0,0,Rocket
8,0.7974816369359916,1.5079965591430664,SonyAIBORobotSurface2,min_shapelet_length=3 max_shapelet_length=65,0,0,SAST
9,0.92,7.848063230514526,GunPoint,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
10,1.0,2.428684949874878,GunPoint,num_kernels=10_000,0,0,Rocket
11,0.96,34.37188124656677,GunPoint,min_shapelet_length=3 max_shapelet_length=150,0,0,SAST
12,0.9933333333333333,7.220295667648315,GunPoint,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
13,1.0,2.497913122177124,GunPoint,num_kernels=10_000,0,0,Rocket
14,0.9733333333333334,34.77832245826721,GunPoint,min_shapelet_length=3 max_shapelet_length=150,0,0,SAST
15,0.9866666666666667,6.251178503036499,GunPoint,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
16,1.0,2.4726240634918213,GunPoint,num_kernels=10_000,0,0,Rocket
17,0.98,34.69660973548889,GunPoint,min_shapelet_length=3 max_shapelet_length=150,0,0,SAST
18,0.9125364431486881,0.050621747970581055,Chinatown,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
19,0.9825072886297376,0.29138660430908203,Chinatown,num_kernels=10_000,0,0,Rocket
20,0.9416909620991254,0.11773681640625,Chinatown,min_shapelet_length=3 max_shapelet_length=24,0,0,SAST
21,0.9591836734693877,0.05150437355041504,Chinatown,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
22,0.9825072886297376,0.28365445137023926,Chinatown,num_kernels=10_000,0,0,Rocket
23,0.9825072886297376,0.07796883583068848,Chinatown,min_shapelet_length=3 max_shapelet_length=24,0,0,SAST
24,0.9504373177842566,0.04731869697570801,Chinatown,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
25,0.9825072886297376,0.2970747947692871,Chinatown,num_kernels=10_000,0,0,Rocket
26,0.9825072886297376,0.08365058898925781,Chinatown,min_shapelet_length=3 max_shapelet_length=24,0,0,SAST
27,0.7391304347826086,9.031800031661987,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
28,0.7789855072463768,15.85303521156311,DistalPhalanxOutlineCorrect,num_kernels=10_000,0,0,Rocket
29,0.7137681159420289,62.28088641166687,DistalPhalanxOutlineCorrect,min_shapelet_length=3 max_shapelet_length=80,0,0,SAST
30,0.7246376811594203,9.247811555862427,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
31,0.7608695652173914,16.21670150756836,DistalPhalanxOutlineCorrect,num_kernels=10_000,0,0,Rocket
32,0.7137681159420289,59.93260717391968,DistalPhalanxOutlineCorrect,min_shapelet_length=3 max_shapelet_length=80,0,0,SAST
33,0.7210144927536232,8.236407995223999,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
34,0.7753623188405797,17.113494396209717,DistalPhalanxOutlineCorrect,num_kernels=10_000,0,0,Rocket
35,0.717391304347826,60.47070527076721,DistalPhalanxOutlineCorrect,min_shapelet_length=3 max_shapelet_length=80,0,0,SAST
36,0.7697841726618705,12.342175006866455,DistalPhalanxOutlineAgeGroup,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
37,0.7482014388489209,9.790471076965332,DistalPhalanxOutlineAgeGroup,num_kernels=10_000,0,0,Rocket
38,0.7050359712230215,60.88708567619324,DistalPhalanxOutlineAgeGroup,min_shapelet_length=3 max_shapelet_length=80,0,0,SAST
39,0.7410071942446043,9.086358785629272,DistalPhalanxOutlineAgeGroup,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
40,0.7482014388489209,9.672700643539429,DistalPhalanxOutlineAgeGroup,num_kernels=10_000,0,0,Rocket
41,0.6690647482014388,61.99283790588379,DistalPhalanxOutlineAgeGroup,min_shapelet_length=3 max_shapelet_length=80,0,0,SAST
42,0.7410071942446043,9.95021390914917,DistalPhalanxOutlineAgeGroup,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
43,0.7553956834532374,9.956032752990723,DistalPhalanxOutlineAgeGroup,num_kernels=10_000,0,0,Rocket
44,0.7194244604316546,62.231000900268555,DistalPhalanxOutlineAgeGroup,min_shapelet_length=3 max_shapelet_length=80,0,0,SAST
45,0.8333333333333334,0.6450741291046143,SmoothSubspace,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
46,0.98,1.032311201095581,SmoothSubspace,num_kernels=10_000,0,0,Rocket
47,0.8133333333333334,0.14647150039672852,SmoothSubspace,min_shapelet_length=3 max_shapelet_length=15,0,0,SAST
48,0.8933333333333333,0.6457822322845459,SmoothSubspace,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
49,0.98,1.0386569499969482,SmoothSubspace,num_kernels=10_000,0,0,Rocket
50,0.8933333333333333,0.13168716430664062,SmoothSubspace,min_shapelet_length=3 max_shapelet_length=15,0,0,SAST
51,0.6533333333333333,0.7002298831939697,SmoothSubspace,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
52,0.98,1.017244577407837,SmoothSubspace,num_kernels=10_000,0,0,Rocket
53,0.84,0.1297140121459961,SmoothSubspace,min_shapelet_length=3 max_shapelet_length=15,0,0,SAST
54,1.0,31.40256428718567,Coffee,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
55,1.0,2.6085023880004883,Coffee,num_kernels=10_000,0,0,Rocket
56,1.0,139.4673707485199,Coffee,min_shapelet_length=3 max_shapelet_length=286,0,0,SAST
57,1.0,30.78232455253601,Coffee,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
58,1.0,2.514411449432373,Coffee,num_kernels=10_000,0,0,Rocket
59,0.9642857142857143,138.08638715744019,Coffee,min_shapelet_length=3 max_shapelet_length=286,0,0,SAST
60,0.9642857142857143,29.688921451568604,Coffee,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
61,1.0,2.463045835494995,Coffee,num_kernels=10_000,0,0,Rocket
62,0.9642857142857143,139.6040165424347,Coffee,min_shapelet_length=3 max_shapelet_length=286,0,0,SAST
63,0.9166666666666666,59.84770846366882,ShapeletSim,ACF&PACF: n_random_points= (lenthg ts)//2 nb_inst_per_class=1,(lenthg ts)//2,1,Rsast
64,1.0,3.295428991317749,ShapeletSim,num_kernels=10_000,0,0,Rocket
65,0.9444444444444444,584.14173579216,ShapeletSim,min_shapelet_length=3 max_shapelet_length=500,0,0,SAST
