,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,number_series
0,0.956268221574344,0.015006542205810547,0.11159706115722656,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,16
1,0.9504373177842566,0.07301068305969238,0.7633423805236816,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,16
2,0.9475218658892128,0.2998795509338379,4.0035927295684814,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,16
3,0.9591836734693877,7.547970771789551,7.9945900440216064,Chinatown,ROCKET: num_kernels=10_000,0,0,Rocket,16
4,0.9446064139941691,0.10311079025268555,0.7956380844116211,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,16
5,0.8892128279883382,0.028812170028686523,0.10801267623901367,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,32
6,0.9766763848396501,0.1325664520263672,0.7639796733856201,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,32
7,0.9825072886297376,0.5442812442779541,4.741591691970825,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,32
8,0.9825072886297376,8.567497253417969,7.281918525695801,Chinatown,ROCKET: num_kernels=10_000,0,0,Rocket,32
9,0.9650145772594753,0.08709096908569336,0.7728631496429443,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,32
