,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,series_length,exp_length
0,0.375,0.10471296310424805,0.05485367774963379,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,16,4
1,0.5,7.960151672363281,2.4245126247406006,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,16,4
2,0.575,0.014554023742675781,0.0010313987731933594,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,16,4
3,0.6,0.20142841339111328,0.14461565017700195,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,32,5
4,0.675,7.470074415206909,2.5321433544158936,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,32,5
5,0.65,0.028903961181640625,0.00601649284362793,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,32,5
6,0.575,2.6337952613830566,2.449040174484253,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,64,6
7,0.6,8.30680799484253,2.8244736194610596,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,64,6
8,0.65,0.11670136451721191,0.04987001419067383,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,64,6
9,0.425,13.185837507247925,12.197962999343872,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,128,7
10,0.55,9.239265441894531,3.3131301403045654,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,128,7
11,0.6,0.6153213977813721,0.3091723918914795,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,128,7
12,0.775,81.40619945526123,64.4805748462677,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,256,8
13,0.95,10.607619047164917,4.038174867630005,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,256,8
14,0.925,1.6096878051757812,0.9275424480438232,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,256,8
15,0.85,241.27325296401978,91.29066324234009,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,512,9
16,0.975,13.996549367904663,5.915162563323975,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,512,9
17,0.975,3.5574567317962646,2.056507110595703,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,512,9
18,0.75,1527.0615890026093,511.9828164577484,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,1024,10
19,1.0,20.698798179626465,8.953029155731201,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,1024,10
20,0.975,6.909412860870361,4.215762376785278,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,1024,10
21,0.9,8095.789494514465,893.1125311851501,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,2048,11
22,0.975,32.981656074523926,15.497510194778442,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,2048,11
23,0.95,14.943771839141846,9.462657690048218,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,2048,11
24,0.925,81516.43484807014,978.286022901535,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,4096,12
25,0.975,35.75827097892761,16.33824372291565,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,4096,12
26,0.95,15.276098012924194,9.636199474334717,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,4096,12
27,0.9,8161.9890077114105,867.6562080383301,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,8192,13
28,0.975,32.68450593948364,15.333937406539917,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,8192,13
29,0.95,14.905986547470093,9.250201940536499,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,8192,13
30,0.9,9522.050559282303,897.2309551239014,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,16384,14
31,0.975,34.52652907371521,15.789750099182129,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,16384,14
32,0.95,14.903121709823608,9.208378076553345,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,16384,14
33,0.925,10328.428586959839,922.7599484920502,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,32768,15
34,0.975,32.123563051223755,14.582966566085815,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,32768,15
35,0.95,14.164064884185791,8.958295345306396,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,32768,15
