,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8476190476190476,3.237290143966675,0.046070098876953125,0.08637499809265137,3.0864524841308594,0.01730179786682129,GunPointOldVersusYoung,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.9682539682539683,24.90360713005066,0.057315826416015625,0.9020147323608398,23.92164659500122,0.020821094512939453,GunPointOldVersusYoung,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.9333333333333333,8.93970251083374,0.04503607749938965,0.09618878364562988,8.77865195274353,0.016566753387451172,GunPointOldVersusYoung,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.9682539682539683,69.88988137245178,0.045709848403930664,0.9497990608215332,68.85642433166504,0.03580212593078613,GunPointOldVersusYoung,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.8444444444444444,0.886707067489624,0.04577517509460449,0.0766143798828125,0.19397830963134766,0.5667240619659424,GunPointOldVersusYoung,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.9174603174603174,2.68026065826416,0.06092238426208496,0.7934293746948242,1.804741621017456,0.020278215408325195,GunPointOldVersusYoung,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.9174603174603174,1.2812416553497314,0.05585336685180664,0.08843278884887695,0.5232257843017578,0.6117660999298096,GunPointOldVersusYoung,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.926984126984127,4.5204243659973145,0.035126447677612305,0.5325534343719482,3.9327762126922607,0.01893448829650879,GunPointOldVersusYoung,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.8857142857142857,0.8702223300933838,0.04643082618713379,0.0009663105010986328,0.10397720336914062,0.7175776958465576,GunPointOldVersusYoung,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.946031746031746,1.4227063655853271,0.047120094299316406,0.006203413009643555,1.3510971069335938,0.0175173282623291,GunPointOldVersusYoung,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.8539682539682539,0.6673085689544678,0.026489734649658203,0.0006968975067138672,0.22582292556762695,0.4135897159576416,GunPointOldVersusYoung,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.8984126984126984,3.2017018795013428,0.033184051513671875,0.009990692138671875,3.134110689163208,0.023424863815307617,GunPointOldVersusYoung,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
