,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8208,52.85672426223755,0.13785171508789062,0.44394874572753906,52.14577674865723,0.12649250030517578,SwedishLeaf,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.8688,18.165592193603516,0.16656017303466797,0.3781616687774658,3.1032838821411133,14.515539407730103,SwedishLeaf,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
2,0.888,14.139041423797607,0.13782572746276855,0.005262613296508789,2.6007046699523926,11.394475936889648,SwedishLeaf,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
3,0.8992,563.0086443424225,0.12114262580871582,3.3778743743896484,559.0273127555847,0.47298121452331543,SwedishLeaf,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
4,0.7152,24.74091649055481,0.14925026893615723,2.8597586154937744,21.60821557044983,0.11317586898803711,SwedishLeaf,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
5,0.7808,20.948415994644165,0.15715742111206055,0.04274582862854004,20.640583276748657,0.10498595237731934,SwedishLeaf,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
6,0.8512,148.98031401634216,0.1383676528930664,0.4719994068145752,148.1983244419098,0.16989755630493164,SwedishLeaf,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
7,0.88,29.638462781906128,0.17152833938598633,0.37888526916503906,7.099464654922485,21.984075784683228,SwedishLeaf,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
8,0.896,25.791300296783447,0.17350363731384277,0.007193803787231445,6.164548397064209,19.444855213165283,SwedishLeaf,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
9,0.8912,1630.4594395160675,0.13888287544250488,3.3453428745269775,1626.028815984726,0.9215960502624512,SwedishLeaf,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
10,0.72,68.34198522567749,0.157759428024292,2.830101728439331,65.18784856796265,0.14310956001281738,SwedishLeaf,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
11,0.7888,58.21492838859558,0.14501404762268066,0.06013989448547363,57.859456062316895,0.14726710319519043,SwedishLeaf,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
