,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.65,2.665064573287964,0.07905125617980957,2.537083387374878,0.04573202133178711,0.0026695728302001953,BeetleFly,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.85,24.40485692024231,0.08066654205322266,24.004221200942993,0.308229923248291,0.008627176284790039,BeetleFly,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.85,2.3056726455688477,0.07918310165405273,2.0971322059631348,0.11951184272766113,0.006801128387451172,BeetleFly,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.85,22.576216459274292,0.07915973663330078,21.7466983795166,0.7254369258880615,0.01643848419189453,BeetleFly,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.45,2.0940072536468506,0.07826471328735352,2.000511407852173,0.006364107131958008,0.0030090808868408203,BeetleFly,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.8,24.29102873802185,0.10035181045532227,24.17971420288086,0.008444070816040039,0.002055644989013672,BeetleFly,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.55,2.684189796447754,0.07968759536743164,2.5977296829223633,0.004632234573364258,0.0018002986907958984,BeetleFly,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.8,27.302056550979614,0.07959127426147461,27.192853212356567,0.026470184326171875,0.002569913864135742,BeetleFly,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.7,0.08526229858398438,0.0782322883605957,0.0006511211395263672,0.004411935806274414,0.0015363693237304688,BeetleFly,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.6,0.09554195404052734,0.0793910026550293,0.004847288131713867,0.009377241134643555,0.0016336441040039062,BeetleFly,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.55,0.08498740196228027,0.07852506637573242,0.0007774829864501953,0.00391387939453125,0.0014812946319580078,BeetleFly,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.7,0.10663843154907227,0.07910943031311035,0.006178379058837891,0.018958330154418945,0.0020372867584228516,BeetleFly,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
