,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.6,2.6063637733459473,0.0795447826385498,2.470177412033081,0.05312657356262207,0.0029344558715820312,BirdChicken,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.8,26.714396476745605,0.08075141906738281,26.277074813842773,0.3447411060333252,0.008510589599609375,BirdChicken,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.55,2.9647955894470215,0.07949709892272949,2.767596483230591,0.10921573638916016,0.004678010940551758,BirdChicken,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.8,27.497023344039917,0.0801389217376709,26.70864701271057,0.6849048137664795,0.014082193374633789,BirdChicken,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.6,2.078171730041504,0.07996892929077148,1.9848759174346924,0.004934549331665039,0.0018153190612792969,BirdChicken,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.75,19.038414239883423,0.08013772964477539,18.947612285614014,0.008339166641235352,0.001981019973754883,BirdChicken,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.7,2.1091198921203613,0.0810699462890625,2.021049976348877,0.004729270935058594,0.001936197280883789,BirdChicken,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.8,19.069761276245117,0.08043026924133301,18.961831092834473,0.02501654624938965,0.0020904541015625,BirdChicken,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.75,0.08729386329650879,0.0799410343170166,0.0006272792816162109,0.004765033721923828,0.001546621322631836,BirdChicken,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.65,0.09654903411865234,0.08156323432922363,0.004607200622558594,0.008359909057617188,0.001725912094116211,BirdChicken,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.7,0.08861827850341797,0.08094286918640137,0.0007221698760986328,0.005102634429931641,0.0015287399291992188,BirdChicken,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.65,0.10811996459960938,0.08061695098876953,0.006206512451171875,0.018944501876831055,0.0020020008087158203,BirdChicken,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
