,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.9833333333333333,0.09979414939880371,0.022896766662597656,0.07012796401977539,0.0041162967681884766,0.00215911865234375,CBF,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.9811111111111112,0.6597728729248047,0.0240480899810791,0.6032388210296631,0.028110980987548828,0.00377655029296875,CBF,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.9966666666666667,0.11950945854187012,0.023769855499267578,0.08075952529907227,0.010550498962402344,0.0029745101928710938,CBF,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.9988888888888889,0.7827091217041016,0.023259878158569336,0.6637625694274902,0.07698750495910645,0.01694655418395996,CBF,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.9077777777777778,0.11005067825317383,0.029358386993408203,0.07367587089538574,0.0014040470123291016,0.0025403499603271484,CBF,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.9922222222222222,0.6891536712646484,0.028131961822509766,0.6515741348266602,0.006273746490478516,0.0027544498443603516,CBF,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.9466666666666667,0.1335735321044922,0.02856588363647461,0.07555270195007324,0.026492834091186523,0.0025548934936523438,CBF,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.9744444444444444,0.7083659172058105,0.028380870819091797,0.6706433296203613,0.005815029144287109,0.002928018569946289,CBF,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.9688888888888889,0.03313589096069336,0.02825307846069336,0.0008196830749511719,0.0014357566833496094,0.0021822452545166016,CBF,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.9888888888888889,0.03957962989807129,0.028304576873779297,0.005038022994995117,0.0035898685455322266,0.002312183380126953,CBF,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.9311111111111111,0.042992353439331055,0.028041362762451172,0.0011470317840576172,0.00897669792175293,0.0043582916259765625,CBF,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.9788888888888889,0.04872751235961914,0.03061366081237793,0.009208440780639648,0.005288124084472656,0.003043651580810547,CBF,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
