,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.886231884057971,308.7235186100006,0.685791015625,307.13014483451843,0.8993091583251953,0.006628990173339844,CinCECGTorso,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.936231884057971,2525.9694204330444,0.7162644863128662,2519.5751695632935,5.647810220718384,0.02531599998474121,CinCECGTorso,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.8891304347826087,308.3587095737457,0.7202033996582031,305.75380969047546,1.8653247356414795,0.011345148086547852,CinCECGTorso,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.9347826086956522,2356.1047015190125,0.7067275047302246,2339.585282087326,15.761497020721436,0.039177656173706055,CinCECGTorso,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.6405797101449275,301.00058126449585,0.7150077819824219,300.1889543533325,0.07572150230407715,0.0034284591674804688,CinCECGTorso,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.8818840579710145,2090.9849848747253,0.7181580066680908,2090.027007818222,0.22750115394592285,0.010160446166992188,CinCECGTorso,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.7108695652173913,236.71782660484314,0.7543485164642334,235.86035060882568,0.09773635864257812,0.0037195682525634766,CinCECGTorso,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.8797101449275362,2013.4665954113007,0.4077603816986084,2012.6248133182526,0.42574644088745117,0.006780862808227539,CinCECGTorso,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.5282608695652173,0.8615434169769287,0.7459330558776855,0.003994941711425781,0.10460376739501953,0.00531768798828125,CinCECGTorso,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.913768115942029,0.9821970462799072,0.7202153205871582,0.025718212127685547,0.22968816757202148,0.005213737487792969,CinCECGTorso,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.6731884057971015,0.8354134559631348,0.7119760513305664,0.004637002944946289,0.11259174346923828,0.004725456237792969,CinCECGTorso,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.9514492753623188,1.2715065479278564,0.716773509979248,0.03049468994140625,0.517040491104126,0.005756378173828125,CinCECGTorso,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
