,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.7753623188405797,0.674175500869751,0.017569780349731445,0.015074729919433594,0.021749019622802734,0.6191451549530029,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.822463768115942,0.4973750114440918,0.01621699333190918,0.15071797370910645,0.2011263370513916,0.12823271751403809,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.7753623188405797,0.24621200561523438,0.018531322479248047,0.016675472259521484,0.06992340087890625,0.13946962356567383,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.8007246376811594,1.0564799308776855,0.03182816505432129,0.29280614852905273,0.5013988018035889,0.2277522087097168,DistalPhalanxOutlineCorrect,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.7391304347826086,0.6613764762878418,0.03214526176452637,0.028197765350341797,0.012093544006347656,0.585869312286377,DistalPhalanxOutlineCorrect,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.782608695652174,0.8845760822296143,0.023272275924682617,0.1454927921295166,0.021218299865722656,0.6941742897033691,DistalPhalanxOutlineCorrect,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.7572463768115942,0.5161516666412354,0.01634359359741211,0.014033794403076172,0.013245582580566406,0.47205376625061035,DistalPhalanxOutlineCorrect,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.7608695652173914,0.317305326461792,0.016334056854248047,0.13100719451904297,0.05815434455871582,0.11142754554748535,DistalPhalanxOutlineCorrect,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.7536231884057971,0.4106438159942627,0.01791691780090332,0.0005404949188232422,0.010320901870727539,0.38121771812438965,DistalPhalanxOutlineCorrect,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.8115942028985508,0.6810436248779297,0.016230344772338867,0.0030891895294189453,0.01603102684020996,0.6452715396881104,DistalPhalanxOutlineCorrect,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.7427536231884058,0.4798412322998047,0.01641082763671875,0.0006513595581054688,0.013336181640625,0.4489889144897461,DistalPhalanxOutlineCorrect,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.7934782608695652,1.0827744007110596,0.01633429527282715,0.004366159439086914,0.04120779037475586,1.0200481414794922,DistalPhalanxOutlineCorrect,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
