,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.45,2.5850162506103516,0.1342935562133789,2.2263526916503906,0.20636415481567383,0.014658212661743164,DodgerLoopDay,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.4625,16.47626519203186,0.0882575511932373,15.358441591262817,0.9868133068084717,0.0382080078125,DodgerLoopDay,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.5125,2.0422170162200928,0.08567523956298828,1.5581245422363281,0.369488000869751,0.023038864135742188,DodgerLoopDay,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.475,19.06797766685486,0.08527421951293945,16.1560001373291,2.6533591747283936,0.1586766242980957,DodgerLoopDay,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.4375,3.722843647003174,0.10427522659301758,1.5363473892211914,0.008041858673095703,2.061228036880493,DodgerLoopDay,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.4875,15.004841804504395,0.08405160903930664,14.87820029258728,0.03841710090637207,0.0036041736602783203,DodgerLoopDay,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.325,1.5790722370147705,0.11438155174255371,1.4417994022369385,0.01892375946044922,0.003460407257080078,DodgerLoopDay,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.425,13.37744688987732,0.08474159240722656,13.18429970741272,0.09992313385009766,0.007888078689575195,DodgerLoopDay,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.4625,2.116018533706665,0.1148979663848877,0.002165555953979492,0.02837395668029785,1.9698235988616943,DodgerLoopDay,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.5,0.1345667839050293,0.08555245399475098,0.012907743453979492,0.03142547607421875,0.00419306755065918,DodgerLoopDay,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.3,0.10156083106994629,0.08483481407165527,0.0022895336151123047,0.010987520217895508,0.003084421157836914,DodgerLoopDay,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.5125,0.1858978271484375,0.08339953422546387,0.017319440841674805,0.07951116561889648,0.005212306976318359,DodgerLoopDay,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
