,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.7971014492753623,0.4577138423919678,0.04305315017700195,0.39255833625793457,0.01988387107849121,0.0017883777618408203,DodgerLoopGame,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.7608695652173914,4.294917345046997,0.0436091423034668,4.120100975036621,0.12429189682006836,0.0049173831939697266,DodgerLoopGame,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.8333333333333334,0.5209977626800537,0.044100284576416016,0.4262382984161377,0.046476125717163086,0.002260923385620117,DodgerLoopGame,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.7753623188405797,4.5127668380737305,0.043947458267211914,4.185696601867676,0.26609182357788086,0.01348876953125,DodgerLoopGame,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.6014492753623188,0.7290911674499512,0.06418919563293457,0.6455042362213135,0.004082441329956055,0.0035359859466552734,DodgerLoopGame,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.6884057971014492,4.051720380783081,0.05334043502807617,3.992166757583618,0.003951311111450195,0.0018067359924316406,DodgerLoopGame,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.7681159420289855,0.4321577548980713,0.043916940689086914,0.3822042942047119,0.004125118255615234,0.0015485286712646484,DodgerLoopGame,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.7318840579710145,3.985186815261841,0.04369401931762695,3.929929733276367,0.009215116500854492,0.0019271373748779297,DodgerLoopGame,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.7463768115942029,0.04853534698486328,0.04397726058959961,0.0005452632904052734,0.0018935203552246094,0.0014679431915283203,DodgerLoopGame,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.8115942028985508,0.052538394927978516,0.04347705841064453,0.003844738006591797,0.0031282901763916016,0.0017960071563720703,DodgerLoopGame,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.6159420289855072,0.04875469207763672,0.04360389709472656,0.0006585121154785156,0.002579927444458008,0.0015492439270019531,DodgerLoopGame,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.8188405797101449,0.08390641212463379,0.043901681900024414,0.0053713321685791016,0.022377490997314453,0.011951684951782227,DodgerLoopGame,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
