,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.76,0.05996227264404297,0.020602703094482422,0.02874016761779785,0.0060732364654541016,0.004124879837036133,ECG200,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.84,0.3839859962463379,0.020319700241088867,0.29802823066711426,0.0568389892578125,0.00830388069152832,ECG200,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.86,0.0949547290802002,0.024721384048461914,0.041838645935058594,0.02148747444152832,0.006119728088378906,ECG200,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.86,0.5288140773773193,0.019477128982543945,0.32608938217163086,0.15567779541015625,0.025402069091796875,ECG200,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.85,0.5493307113647461,0.027413368225097656,0.03301095962524414,0.003383636474609375,0.48271918296813965,ECG200,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.77,0.24684953689575195,0.017869234085083008,0.21922922134399414,0.005615711212158203,0.0037567615509033203,ECG200,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.83,0.46103549003601074,0.016111135482788086,0.019033193588256836,0.0035927295684814453,0.42200613021850586,ECG200,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.82,0.24984097480773926,0.015135765075683594,0.2141728401184082,0.014900445938110352,0.005240440368652344,ECG200,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.82,0.4224693775177002,0.015982389450073242,0.0004925727844238281,0.00231170654296875,0.40318822860717773,ECG200,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.83,0.02825331687927246,0.014833450317382812,0.0031194686889648438,0.004908084869384766,0.005086421966552734,ECG200,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.81,0.4109327793121338,0.016102313995361328,0.0005667209625244141,0.002939939498901367,0.3910365104675293,ECG200,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.87,0.033573150634765625,0.01492762565612793,0.0041468143463134766,0.008283376693725586,0.005884885787963867,ECG200,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
