,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.9680473372781065,0.7040526866912842,0.08089351654052734,0.3251500129699707,0.2104494571685791,0.08582735061645508,FaceAll,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.98698224852071,5.899021863937378,0.09926366806030273,4.029939413070679,1.4476516246795654,0.31765317916870117,FaceAll,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.978698224852071,1.227707862854004,0.09296178817749023,0.36168479919433594,0.597337007522583,0.16908001899719238,FaceAll,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.98698224852071,8.794050216674805,0.08092737197875977,3.8360118865966797,3.7243363857269287,1.135702133178711,FaceAll,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.9485207100591716,3.056955575942993,0.14667940139770508,0.49562621116638184,0.022467374801635742,2.377117395401001,FaceAll,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.9804733727810651,3.062267780303955,0.08110904693603516,2.7751383781433105,0.12397289276123047,0.08135867118835449,FaceAll,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.9633136094674556,7.898052215576172,0.08114194869995117,0.27765774726867676,0.038643598556518555,7.499649524688721,FaceAll,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.9857988165680474,3.4556164741516113,0.08231043815612793,2.973330020904541,0.28894853591918945,0.10955691337585449,FaceAll,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.901775147928994,2.473655939102173,0.11609292030334473,0.00400233268737793,0.017254114151000977,2.334463596343994,FaceAll,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.9698224852071006,0.31685519218444824,0.08008241653442383,0.023290395736694336,0.13188982009887695,0.08059930801391602,FaceAll,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.9112426035502958,7.972565412521362,0.0805816650390625,0.003793001174926758,0.034760475158691406,7.852541446685791,FaceAll,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.9828402366863905,0.43633365631103516,0.08035087585449219,0.03310394287109375,0.22857999801635742,0.09346175193786621,FaceAll,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
