,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8491228070175438,0.8956067562103271,0.10284709930419922,0.7052638530731201,0.07392692565917969,0.012470722198486328,FreezerRegularTrain,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.9687719298245614,5.239778280258179,0.10135722160339355,4.725642919540405,0.39026522636413574,0.0210115909576416,FreezerRegularTrain,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.9680701754385965,1.009544849395752,0.10072946548461914,0.7022957801818848,0.1851212978363037,0.0190274715423584,FreezerRegularTrain,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.9680701754385965,5.691339015960693,0.10121989250183105,4.748438119888306,0.783132791519165,0.05591440200805664,FreezerRegularTrain,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.8747368421052631,1.433295488357544,0.1017141342163086,0.6529884338378906,0.02074408531188965,0.6534261703491211,FreezerRegularTrain,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.9691228070175438,4.669360399246216,0.06782293319702148,4.571930170059204,0.02260112762451172,0.00634002685546875,FreezerRegularTrain,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.911578947368421,0.9904146194458008,0.05677604675292969,0.44592952728271484,0.019190549850463867,0.4679558277130127,FreezerRegularTrain,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.9666666666666667,4.760527610778809,0.10355925559997559,4.577486038208008,0.06843042373657227,0.010159492492675781,FreezerRegularTrain,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.9582456140350877,0.4909176826477051,0.056237220764160156,0.0006680488586425781,0.01085352897644043,0.42224597930908203,FreezerRegularTrain,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.9719298245614035,0.09528565406799316,0.05584883689880371,0.0040302276611328125,0.02545022964477539,0.009373664855957031,FreezerRegularTrain,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.9375438596491228,0.5824184417724609,0.06534910202026367,0.0008785724639892578,0.021184444427490234,0.4943685531616211,FreezerRegularTrain,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.9740350877192983,0.19388437271118164,0.1005702018737793,0.010022640228271484,0.07078003883361816,0.011666059494018555,FreezerRegularTrain,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
