,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.49292929292929294,2.168900966644287,0.15619707107543945,1.709876537322998,0.26366591453552246,0.037123680114746094,InsectWingbeatSound,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.552020202020202,18.08953046798706,0.18334245681762695,16.172441720962524,1.5544781684875488,0.175431489944458,InsectWingbeatSound,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.5035353535353535,3.076218843460083,0.2368147373199463,2.173433780670166,0.5995352268218994,0.05848240852355957,InsectWingbeatSound,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.5515151515151515,22.388744115829468,0.13414430618286133,16.80461096763611,4.4730610847473145,0.9657323360443115,InsectWingbeatSound,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.5924242424242424,3.7646350860595703,0.19821429252624512,1.9847381114959717,0.019049644470214844,1.547670602798462,InsectWingbeatSound,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.4808080808080808,16.01798129081726,0.11633086204528809,15.749662637710571,0.13257837295532227,0.018624305725097656,InsectWingbeatSound,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.3186868686868687,1.7922296524047852,0.13947176933288574,1.5968940258026123,0.04172873497009277,0.013289690017700195,InsectWingbeatSound,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.5060606060606061,16.330963850021362,0.15452265739440918,15.843992471694946,0.30301904678344727,0.028049707412719727,InsectWingbeatSound,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.5974747474747475,1.6644954681396484,0.11078763008117676,0.0026559829711914062,0.03724503517150879,1.5125226974487305,InsectWingbeatSound,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.5131313131313131,0.26078128814697266,0.10930466651916504,0.019632339477539062,0.11326956748962402,0.017964601516723633,InsectWingbeatSound,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.3373737373737374,0.17978501319885254,0.1243746280670166,0.0032198429107666016,0.041408538818359375,0.009991168975830078,InsectWingbeatSound,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.5474747474747474,0.3711056709289551,0.10991334915161133,0.027561664581298828,0.20452189445495605,0.028384923934936523,InsectWingbeatSound,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
