,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.5210526315789473,0.2940182685852051,0.05148053169250488,0.1320934295654297,0.07642769813537598,0.03264784812927246,MedicalImages,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.6460526315789473,1.6682205200195312,0.04258251190185547,1.0741968154907227,0.4745035171508789,0.07464814186096191,MedicalImages,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.593421052631579,0.5246264934539795,0.0730290412902832,0.1838221549987793,0.20757365226745605,0.056758880615234375,MedicalImages,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.6605263157894737,2.931806802749634,0.05917000770568848,1.359640121459961,1.2117772102355957,0.2969348430633545,MedicalImages,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.618421052631579,1.8196523189544678,0.0631263256072998,0.11198067665100098,0.007460832595825195,1.6309008598327637,MedicalImages,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.525,0.9923300743103027,0.04184269905090332,0.8715922832489014,0.05079817771911621,0.027591228485107422,MedicalImages,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.656578947368421,2.6635124683380127,0.05928301811218262,0.11579418182373047,0.02040886878967285,2.467428207397461,MedicalImages,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.6368421052631579,1.1230642795562744,0.044348716735839844,0.9003326892852783,0.13502025604248047,0.04239678382873535,MedicalImages,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.6263157894736842,1.6261818408966064,0.05934262275695801,0.002680540084838867,0.006322383880615234,1.556471824645996,MedicalImages,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.5907894736842105,0.1292562484741211,0.0420680046081543,0.014782905578613281,0.0443730354309082,0.027608633041381836,MedicalImages,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.6842105263157895,2.34759783744812,0.04258990287780762,0.002644777297973633,0.016930818557739258,2.2849197387695312,MedicalImages,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.6342105263157894,0.20929908752441406,0.0424957275390625,0.02074742317199707,0.10860061645507812,0.03668403625488281,MedicalImages,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
