,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.7354312354312355,1.8769009113311768,0.027575254440307617,0.018567323684692383,0.0652456283569336,1.7647175788879395,PhalangesOutlinesCorrect,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.7855477855477856,3.548858642578125,0.04935288429260254,0.3233656883239746,0.42446088790893555,2.7504396438598633,PhalangesOutlinesCorrect,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.7680652680652681,1.8835303783416748,0.02802729606628418,0.019396543502807617,0.08969449996948242,1.7450368404388428,PhalangesOutlinesCorrect,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.7995337995337995,3.774346351623535,0.027765989303588867,0.16489028930664062,0.8408095836639404,2.7395291328430176,PhalangesOutlinesCorrect,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.6491841491841492,0.5597972869873047,0.028422117233276367,0.017235994338989258,0.021936655044555664,0.49042367935180664,PhalangesOutlinesCorrect,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.752913752913753,1.353529691696167,0.026288986206054688,0.15337419509887695,0.06543755531311035,1.1076111793518066,PhalangesOutlinesCorrect,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.6806526806526807,0.7597179412841797,0.027120590209960938,0.01494145393371582,0.03636026382446289,0.6807262897491455,PhalangesOutlinesCorrect,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.7657342657342657,3.1218838691711426,0.026412010192871094,0.15383362770080566,0.16637039184570312,2.77437424659729,PhalangesOutlinesCorrect,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.7214452214452215,0.380664587020874,0.02775120735168457,0.0006253719329833984,0.028814077377319336,0.3227975368499756,PhalangesOutlinesCorrect,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.7983682983682984,1.1446304321289062,0.026051998138427734,0.0032324790954589844,0.04863715171813965,1.065854549407959,PhalangesOutlinesCorrect,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.7400932400932401,0.8279862403869629,0.027314424514770508,0.0007445812225341797,0.028982162475585938,0.7701747417449951,PhalangesOutlinesCorrect,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.817016317016317,2.183610200881958,0.02690577507019043,0.0047948360443115234,0.09296941757202148,2.0581467151641846,PhalangesOutlinesCorrect,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
