,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.58,4.5865867137908936,0.17644238471984863,4.289177656173706,0.11382150650024414,0.006022930145263672,PickupGestureWiimoteZ,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.72,19.295660495758057,0.13089895248413086,18.68962001800537,0.4527871608734131,0.017998933792114258,PickupGestureWiimoteZ,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.66,4.529682636260986,0.1998286247253418,4.014474868774414,0.3007388114929199,0.008908987045288086,PickupGestureWiimoteZ,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.7,18.988070011138916,0.14158034324645996,17.588045358657837,1.2111821174621582,0.03625130653381348,PickupGestureWiimoteZ,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.3,3.7376651763916016,0.17850613594055176,3.541659355163574,0.006668806076049805,0.002546072006225586,PickupGestureWiimoteZ,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.66,16.744744300842285,0.13522052764892578,16.578972578048706,0.024140357971191406,0.005808591842651367,PickupGestureWiimoteZ,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.58,3.970140218734741,0.14310956001281738,3.8053998947143555,0.017673969268798828,0.003299236297607422,PickupGestureWiimoteZ,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.66,18.74928307533264,0.13102078437805176,18.54733157157898,0.06654596328735352,0.0035996437072753906,PickupGestureWiimoteZ,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.36,0.15509343147277832,0.13576579093933105,0.003350496292114258,0.008201122283935547,0.005593299865722656,PickupGestureWiimoteZ,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.64,0.21268296241760254,0.17734313011169434,0.012554645538330078,0.018111705780029297,0.004053831100463867,PickupGestureWiimoteZ,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.48,0.17173361778259277,0.15033841133117676,0.003567218780517578,0.013971805572509766,0.0033104419708251953,PickupGestureWiimoteZ,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.54,0.20896506309509277,0.13096952438354492,0.014884471893310547,0.057671308517456055,0.004861593246459961,PickupGestureWiimoteZ,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
