,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.5625,5721.429308414459,3.5178885459899902,4257.821324110031,1459.595561504364,0.4765801429748535,PigCVP,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.5480769230769231,12731.442025661469,3.612734317779541,9509.602840662003,3217.2518124580383,0.8778815269470215,PigCVP,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.5625,8543.887047290802,3.6002981662750244,4230.365721464157,4308.63445854187,1.1254501342773438,PigCVP,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.5480769230769231,19397.407359838486,3.6226494312286377,9540.289025306702,9850.863122940063,2.3944499492645264,PigCVP,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.3798076923076923,4190.531289815903,3.6635384559631348,4179.138157367706,7.299665212631226,0.05786275863647461,PigCVP,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.42788461538461536,9209.734921693802,3.6454503536224365,9190.368940353394,15.67844533920288,0.037912607192993164,PigCVP,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.4519230769230769,4269.839198589325,3.6447997093200684,4244.809699058533,21.33557391166687,0.04375433921813965,PigCVP,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.42788461538461536,9450.892160654068,3.7421715259552,9400.168122291565,46.92626070976257,0.045880794525146484,PigCVP,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.2692307692307692,10.76593565940857,3.7322447299957275,0.028246164321899414,6.945029258728027,0.05389237403869629,PigCVP,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.28846153846153844,17.65706157684326,3.628139019012451,0.055576324462890625,13.90686845779419,0.0648503303527832,PigCVP,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.25,23.63566493988037,3.673666000366211,0.04214167594909668,19.898934602737427,0.018982410430908203,PigCVP,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.3557692307692308,44.421672344207764,3.6227991580963135,0.07625794410705566,40.61121892929077,0.10979104042053223,PigCVP,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
