,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8341463414634146,1.3645052909851074,0.017795085906982422,0.021493196487426758,0.01767730712890625,1.307154655456543,ProximalPhalanxOutlineAgeGroup,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.824390243902439,0.3930022716522217,0.018559694290161133,0.20901107788085938,0.12382626533508301,0.04052591323852539,ProximalPhalanxOutlineAgeGroup,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.8390243902439024,0.14557600021362305,0.025110721588134766,0.035418033599853516,0.05266594886779785,0.030731916427612305,ProximalPhalanxOutlineAgeGroup,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.8195121951219512,0.7082393169403076,0.02377915382385254,0.3138153553009033,0.29933595657348633,0.06954145431518555,ProximalPhalanxOutlineAgeGroup,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.8390243902439024,0.7892069816589355,0.0181729793548584,0.01657581329345703,0.00509190559387207,0.7468311786651611,ProximalPhalanxOutlineAgeGroup,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.8341463414634146,1.4207971096038818,0.018045902252197266,0.17997193336486816,0.023375272750854492,1.1990201473236084,ProximalPhalanxOutlineAgeGroup,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.8292682926829268,0.9507694244384766,0.01790308952331543,0.018639087677001953,0.00764918327331543,0.9060733318328857,ProximalPhalanxOutlineAgeGroup,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.8390243902439024,0.27343010902404785,0.01771998405456543,0.18243908882141113,0.04067420959472656,0.03202342987060547,ProximalPhalanxOutlineAgeGroup,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.8439024390243902,0.9549214839935303,0.017772197723388672,0.0007205009460449219,0.010230779647827148,0.9258060455322266,ProximalPhalanxOutlineAgeGroup,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.8390243902439024,1.2962050437927246,0.018146753311157227,0.004700422286987305,0.015097379684448242,1.2577433586120605,ProximalPhalanxOutlineAgeGroup,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.824390243902439,1.622934103012085,0.024666786193847656,0.0012896060943603516,0.006440639495849609,1.5896885395050049,ProximalPhalanxOutlineAgeGroup,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.8146341463414634,0.09980225563049316,0.02458643913269043,0.009037971496582031,0.03561139106750488,0.02993941307067871,ProximalPhalanxOutlineAgeGroup,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
