,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.68,1162.9393072128296,1.2024307250976562,1078.0306384563446,83.67842388153076,0.023554563522338867,Rock,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.76,5460.5494294166565,1.3283398151397705,5175.918789625168,283.2400779724121,0.027169466018676758,Rock,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.76,1210.6934840679169,1.2201824188232422,952.8123414516449,256.54590916633606,0.052666425704956055,Rock,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.76,5655.782988071442,1.1905038356781006,4784.540257692337,869.8992838859558,0.10879731178283691,Rock,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.6,959.3345549106598,1.2321157455444336,957.643946647644,0.3776092529296875,0.007844924926757812,Rock,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.76,4775.15719461441,1.3274590969085693,4772.477938890457,1.3429200649261475,0.007722377777099609,Rock,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.72,954.2337350845337,1.2305641174316406,952.1481745243073,0.8486630916595459,0.005261898040771484,Rock,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.76,4816.324235916138,1.2063651084899902,4811.306103229523,3.801964521408081,0.007866859436035156,Rock,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.42,1.4799373149871826,1.1910533905029297,0.0030519962310791016,0.2797858715057373,0.0041773319244384766,Rock,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.72,2.53599214553833,1.370474100112915,0.013531208038330078,1.1464815139770508,0.004504680633544922,Rock,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.64,1.8182058334350586,1.1988046169281006,0.003519296646118164,0.6113386154174805,0.0035779476165771484,Rock,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.74,4.360137224197388,1.202730417251587,0.017043590545654297,3.1344289779663086,0.0053136348724365234,Rock,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
