,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.715,87.95286417007446,2.004566192626953,63.52297115325928,21.424983739852905,0.9718883037567139,ShapesAll,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.7383333333333333,857.0929811000824,1.8848402500152588,667.6654107570648,180.23575401306152,7.150913953781128,ShapesAll,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.705,137.75601363182068,1.4857699871063232,67.45105171203613,65.64311480522156,3.0678493976593018,ShapesAll,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.7433333333333333,1204.2874839305878,1.917177677154541,655.9141230583191,529.4339094161987,16.717768907546997,ShapesAll,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.41333333333333333,78.50567626953125,1.2550106048583984,76.36256456375122,0.5587048530578613,0.10555744171142578,ShapesAll,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.5716666666666667,577.7229676246643,1.0775842666625977,573.235621213913,3.238886594772339,0.16856050491333008,ShapesAll,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.4483333333333333,63.9014527797699,1.670180082321167,60.91471529006958,1.1889431476593018,0.1242666244506836,ShapesAll,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.6183333333333333,614.1438145637512,1.7873387336730957,603.0663328170776,8.980906963348389,0.3014845848083496,ShapesAll,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.7783333333333333,35.29739832878113,1.8320870399475098,0.01858806610107422,0.6103944778442383,32.83172345161438,ShapesAll,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.6633333333333333,4.6007301807403564,1.0942964553833008,0.11680459976196289,3.207846164703369,0.18027877807617188,ShapesAll,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.5466666666666666,3.1942243576049805,1.5238826274871826,0.01912379264831543,1.4988248348236084,0.15024495124816895,ShapesAll,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.7116666666666667,10.356911897659302,1.3338472843170166,0.15707683563232422,8.50554871559143,0.35315918922424316,ShapesAll,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
