,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8,4.290565252304077,0.006821870803833008,0.8995814323425293,2.600409507751465,0.78375244140625,SmoothSubspace,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.8533333333333334,0.2674093246459961,0.005948066711425781,0.03789830207824707,0.20548367500305176,0.01706981658935547,SmoothSubspace,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.8266666666666667,0.8397526741027832,0.00897669792175293,0.003988981246948242,0.01595926284790039,0.8098301887512207,SmoothSubspace,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.86,0.23836255073547363,0.005932331085205078,0.04890012741088867,0.17451190948486328,0.007968425750732422,SmoothSubspace,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.8533333333333334,0.7649734020233154,0.00498652458190918,0.004986763000488281,0.020944595336914062,0.732062578201294,SmoothSubspace,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.84,0.15855097770690918,0.0049626827239990234,0.0249330997467041,0.12366795539855957,0.004987239837646484,SmoothSubspace,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.7733333333333333,0.7559759616851807,0.008975744247436523,0.003989458084106445,0.015957117080688477,0.726055383682251,SmoothSubspace,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.8133333333333334,0.16855192184448242,0.0069806575775146484,0.02493453025817871,0.13164806365966797,0.004988670349121094,SmoothSubspace,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.6333333333333333,0.8048443794250488,0.007976293563842773,0.0019958019256591797,0.0139617919921875,0.7789130210876465,SmoothSubspace,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.8466666666666667,0.11765909194946289,0.00796055793762207,0.008968114852905273,0.09275293350219727,0.007977485656738281,SmoothSubspace,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.7466666666666667,0.8856513500213623,0.00997161865234375,0.0019948482513427734,0.01196908950805664,0.8607170581817627,SmoothSubspace,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.84,0.12563705444335938,0.006979465484619141,0.006981372833251953,0.1066896915435791,0.00498652458190918,SmoothSubspace,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
