,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.7808,0.7938652038574219,0.11111783981323242,0.37347960472106934,0.252699613571167,0.05507063865661621,SwedishLeaf,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.8832,5.481580972671509,0.11095404624938965,3.5837788581848145,1.4366579055786133,0.34661126136779785,SwedishLeaf,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.8496,1.4336440563201904,0.17413926124572754,0.6872437000274658,0.4849843978881836,0.08109498023986816,SwedishLeaf,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.8784,8.73704195022583,0.09559226036071777,3.8579013347625732,3.6978132724761963,1.0654120445251465,SwedishLeaf,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.8496,3.402676820755005,0.1786339282989502,0.4748988151550293,0.034554481506347656,2.704996109008789,SwedishLeaf,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.6272,3.387223720550537,0.07740211486816406,3.0995585918426514,0.1464095115661621,0.06304407119750977,SwedishLeaf,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.8496,10.15539002418518,0.09406566619873047,0.28606486320495605,0.048130035400390625,9.726184844970703,SwedishLeaf,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.6864,4.551157712936401,0.1117255687713623,4.060601472854614,0.3000454902648926,0.07673978805541992,SwedishLeaf,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.8576,2.5687925815582275,0.07794523239135742,0.0031180381774902344,0.013586044311523438,2.472764015197754,SwedishLeaf,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.7248,0.24938488006591797,0.0779571533203125,0.023984909057617188,0.10085129737854004,0.04601883888244629,SwedishLeaf,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.8896,9.31880521774292,0.08570003509521484,0.004224300384521484,0.030629873275756836,9.197435140609741,SwedishLeaf,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.7856,0.4003567695617676,0.07817578315734863,0.03416943550109863,0.22232556343078613,0.0647735595703125,SwedishLeaf,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
