,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,1.0,0.7654256820678711,0.060103416442871094,0.6376006603240967,0.062026262283325195,0.0051898956298828125,Trace,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,1.0,7.313623905181885,0.06007552146911621,6.7851951122283936,0.4466686248779297,0.01982712745666504,Trace,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,1.0,0.9429752826690674,0.06907129287719727,0.688413143157959,0.17296814918518066,0.009867668151855469,Trace,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,1.0,9.21631407737732,0.05871891975402832,8.000125408172607,1.0952072143554688,0.057984113693237305,Trace,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.99,1.345174789428711,0.0728919506072998,0.6752114295959473,0.008764028549194336,0.5820064544677734,Trace,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,1.0,6.804328441619873,0.07335543632507324,6.699354410171509,0.026484012603759766,0.0045032501220703125,Trace,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.99,0.7387876510620117,0.06111478805541992,0.663273811340332,0.010260581970214844,0.00371551513671875,Trace,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,1.0,6.937695741653442,0.060862064361572266,6.798830986022949,0.07185006141662598,0.005674123764038086,Trace,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.96,1.0383036136627197,0.06219959259033203,0.002201080322265625,0.00707244873046875,0.9663150310516357,Trace,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,1.0,0.1424424648284912,0.08746743202209473,0.00865626335144043,0.0400083065032959,0.0056552886962890625,Trace,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.93,0.08361196517944336,0.0645437240600586,0.0020151138305664062,0.011910676956176758,0.004812479019165039,Trace,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,1.0,0.1451120376586914,0.06298589706420898,0.010767221450805664,0.06344866752624512,0.007544517517089844,Trace,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
