,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.45,1.3882184028625488,1.136099100112915,0.008441925048828125,0.23166799545288086,0.010348796844482422,ACSF1,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.36,1.8742454051971436,0.8245570659637451,0.03755927085876465,1.0012938976287842,0.009932756423950195,ACSF1,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.38,1.5786304473876953,1.1165356636047363,0.007546901702880859,0.44513535499572754,0.00759124755859375,ACSF1,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.3,3.7831501960754395,1.164536714553833,0.07448148727416992,2.52850604057312,0.013844728469848633,ACSF1,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.39,493.1107439994812,1.0586020946502686,491.9000129699707,0.14303350448608398,0.006577491760253906,ACSF1,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.39,6336.601518630981,0.61521315574646,6335.14013838768,0.833472728729248,0.011337757110595703,ACSF1,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.32,596.4203789234161,0.6237766742706299,595.418178319931,0.36931943893432617,0.007850408554077148,ACSF1,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.38,5847.5838215351105,0.6135492324829102,5844.89994430542,2.053091526031494,0.015182971954345703,ACSF1,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.52,0.9130117893218994,0.6786811351776123,0.0048675537109375,0.2149667739868164,0.006814002990722656,ACSF1,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.33,1.892624855041504,0.8698103427886963,0.04393935203552246,0.9677028656005859,0.010129690170288086,ACSF1,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.4,1.3016622066497803,0.8523924350738525,0.00557398796081543,0.4355471134185791,0.006791114807128906,ACSF1,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.38,3.673868179321289,1.0378341674804688,0.062347412109375,2.5571959018707275,0.014935731887817383,ACSF1,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
