,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.5082872928176796,4.476672172546387,1.5729541778564453,0.006885051727294922,0.6147716045379639,2.280043840408325,EOGHorizontalSignal,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.3756906077348066,3.593496322631836,0.8477814197540283,0.04011344909667969,2.669062614440918,0.035562753677368164,EOGHorizontalSignal,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.4861878453038674,5.9287285804748535,1.2776730060577393,0.006859779357910156,1.0420784950256348,3.6009483337402344,EOGHorizontalSignal,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.44751381215469616,7.143676519393921,0.8093287944793701,0.051508188247680664,6.226732015609741,0.05381155014038086,EOGHorizontalSignal,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.4585635359116022,563.1818468570709,1.4824035167694092,559.4281101226807,0.438307523727417,1.8306574821472168,EOGHorizontalSignal,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.3674033149171271,5208.93240070343,0.8171525001525879,5205.586117982864,2.483346939086914,0.04427218437194824,EOGHorizontalSignal,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.4613259668508287,565.5175039768219,1.4991281032562256,553.2895710468292,0.8882393836975098,9.838465213775635,EOGHorizontalSignal,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.4281767955801105,5528.609695672989,0.8694643974304199,5521.512899637222,6.161482572555542,0.06334710121154785,EOGHorizontalSignal,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.5276243093922652,3.5534141063690186,0.8656132221221924,0.0053708553314208984,0.611619234085083,2.068605899810791,EOGHorizontalSignal,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.3674033149171271,3.6178972721099854,0.8509929180145264,0.03940248489379883,2.6872241497039795,0.03919649124145508,EOGHorizontalSignal,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.4447513812154696,11.419676542282104,0.85638427734375,0.006426811218261719,1.1892132759094238,9.366482973098755,EOGHorizontalSignal,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.4889502762430939,6.859431028366089,0.8614397048950195,0.05222678184509277,5.888497591018677,0.05545163154602051,EOGHorizontalSignal,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
