,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8666666666666667,0.13559651374816895,0.11864757537841797,0.0013484954833984375,0.012955188751220703,0.0022695064544677734,OliveOil,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.8666666666666667,0.14838027954101562,0.11825037002563477,0.006659030914306641,0.020716428756713867,0.0024480819702148438,OliveOil,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,0.9,0.13782882690429688,0.11917734146118164,0.0016167163848876953,0.014477014541625977,0.0022466182708740234,OliveOil,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,0.8,0.17405366897583008,0.11911725997924805,0.009214162826538086,0.042015790939331055,0.003320455551147461,OliveOil,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.7333333333333333,8.160562753677368,0.1565258502960205,7.991002559661865,0.009701967239379883,0.0024881362915039062,OliveOil,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,0.8666666666666667,67.35466718673706,0.1196906566619873,67.20561289787292,0.02608942985534668,0.0027861595153808594,OliveOil,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,0.8666666666666667,11.459879875183105,0.11974096298217773,11.3258957862854,0.011141300201416016,0.0026102066040039062,OliveOil,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,0.8666666666666667,68.93409705162048,0.11957478523254395,68.75080633163452,0.05908536911010742,0.003923892974853516,OliveOil,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.8666666666666667,0.1703791618347168,0.15788745880126953,0.0019192695617675781,0.007559776306152344,0.002366781234741211,OliveOil,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.8666666666666667,0.18121838569641113,0.15585803985595703,0.00906682014465332,0.013448238372802734,0.00247955322265625,OliveOil,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.8666666666666667,0.16829466819763184,0.14630818367004395,0.002601146697998047,0.013076305389404297,0.00519251823425293,OliveOil,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,0.8333333333333334,0.2200028896331787,0.1587507724761963,0.013565778732299805,0.043372392654418945,0.003478527069091797,OliveOil,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
