,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.0,0.5091357231140137,0.05049014091491699,0.03938555717468262,0.383251428604126,0.01710224151611328,SyntheticControl,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
1,0.45,0.22090768814086914,0.02658247947692871,0.0041387081146240234,0.1847531795501709,0.004662036895751953,SyntheticControl,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
2,0.03666666666666667,0.4500706195831299,0.027902603149414062,0.032892704010009766,0.3057684898376465,0.08271574974060059,SyntheticControl,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
3,0.4066666666666667,0.11030364036560059,0.02908039093017578,0.003243684768676758,0.0740506649017334,0.003255128860473633,SyntheticControl,Max ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max ACF
4,0.8033333333333333,0.11724472045898438,0.031073808670043945,0.030257463455200195,0.05169367790222168,0.003221750259399414,SyntheticControl,Max PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max PACF
5,0.63,0.10117864608764648,0.029796838760375977,0.0011124610900878906,0.06566905975341797,0.003251791000366211,SyntheticControl,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
6,0.3333333333333333,4.27354621887207,0.025962114334106445,0.34276247024536133,3.6782774925231934,0.2260277271270752,SyntheticControl,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
7,0.0,1.5319757461547852,0.047354936599731445,0.05035281181335449,1.2400100231170654,0.19350790977478027,SyntheticControl,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
8,0.43,2.8124613761901855,0.034542083740234375,0.31798624992370605,2.343524932861328,0.11567974090576172,SyntheticControl,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
9,0.013333333333333334,0.6118042469024658,0.06860828399658203,0.03463125228881836,0.46817445755004883,0.039407968521118164,SyntheticControl,Max ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max ACF
10,0.0033333333333333335,0.6299173831939697,0.025987863540649414,0.29029321670532227,0.29177379608154297,0.021209001541137695,SyntheticControl,Max PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max PACF
11,0.0,0.34310317039489746,0.028688430786132812,0.007306098937988281,0.2763664722442627,0.029983997344970703,SyntheticControl,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
12,0.37,11.777435064315796,0.03061819076538086,1.0394806861877441,10.515297889709473,0.18927407264709473,SyntheticControl,ACF&PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,ACF&PACF
13,0.39666666666666667,3.75177001953125,0.039429664611816406,0.10456061363220215,3.462627410888672,0.14382195472717285,SyntheticControl,ACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,ACF
14,0.5,8.194247961044312,0.051413536071777344,0.9711687564849854,6.968985319137573,0.20112395286560059,SyntheticControl,PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,PACF
15,0.0,1.4473578929901123,0.06095385551452637,0.09024548530578613,1.2226479053497314,0.07197880744934082,SyntheticControl,Max ACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,Max ACF
16,0.0,1.9160630702972412,0.06560802459716797,0.8831281661987305,0.8320479393005371,0.13370943069458008,SyntheticControl,Max PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,Max PACF
17,0.0,1.0977020263671875,0.03476858139038086,0.025241851806640625,0.7759525775909424,0.2610056400299072,SyntheticControl,None: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,None
18,0.51,19.27231192588806,0.03465414047241211,1.7169861793518066,17.322282314300537,0.19710206985473633,SyntheticControl,ACF&PACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,ACF&PACF
