classifier_name,dataset_name,accuracy
ACF&PACF: n_random_points=1 nb_inst_per_class=1,Chinatown,0.8483965014577259
ACF&PACF: n_random_points=1 nb_inst_per_class=10,Chinatown,0.899125364431487
ACF&PACF: n_random_points=1 nb_inst_per_class=100,Chinatown,0.9440233236151604
ACF&PACF: n_random_points=10 nb_inst_per_class=1,Chinatown,0.9469387755102041
ACF&PACF: n_random_points=10 nb_inst_per_class=10,Chinatown,0.9807580174927113
ACF&PACF: n_random_points=10 nb_inst_per_class=100,Chinatown,0.9760932944606415
ACF&PACF: n_random_points=100 nb_inst_per_class=1,Chinatown,0.9469387755102041
ACF&PACF: n_random_points=100 nb_inst_per_class=10,Chinatown,0.9842565597667636
ACF&PACF: n_random_points=100 nb_inst_per_class=100,Chinatown,0.9819241982507287
ACF: n_random_points=1 nb_inst_per_class=1,Chinatown,0.751603498542274
ACF: n_random_points=1 nb_inst_per_class=10,Chinatown,0.9294460641399416
ACF: n_random_points=1 nb_inst_per_class=100,Chinatown,0.9545189504373178
ACF: n_random_points=10 nb_inst_per_class=1,Chinatown,0.9061224489795918
ACF: n_random_points=10 nb_inst_per_class=10,Chinatown,0.9673469387755101
ACF: n_random_points=10 nb_inst_per_class=100,Chinatown,0.9714285714285713
ACF: n_random_points=100 nb_inst_per_class=1,Chinatown,0.8997084548104957
ACF: n_random_points=100 nb_inst_per_class=10,Chinatown,0.98134110787172
ACF: n_random_points=100 nb_inst_per_class=100,Chinatown,0.9795918367346939
None: n_random_points=1 nb_inst_per_class=1,Chinatown,0.8495626822157434
None: n_random_points=1 nb_inst_per_class=10,Chinatown,0.9463556851311953
None: n_random_points=1 nb_inst_per_class=100,Chinatown,0.940524781341108
None: n_random_points=10 nb_inst_per_class=1,Chinatown,0.9224489795918368
None: n_random_points=10 nb_inst_per_class=10,Chinatown,0.9731778425655977
None: n_random_points=10 nb_inst_per_class=100,Chinatown,0.9638483965014577
None: n_random_points=100 nb_inst_per_class=1,Chinatown,0.8612244897959183
None: n_random_points=100 nb_inst_per_class=10,Chinatown,0.9760932944606415
None: n_random_points=100 nb_inst_per_class=100,Chinatown,0.9772594752186589
PACF: n_random_points=1 nb_inst_per_class=1,Chinatown,0.8011661807580175
PACF: n_random_points=1 nb_inst_per_class=10,Chinatown,0.9603498542274052
PACF: n_random_points=1 nb_inst_per_class=100,Chinatown,0.9510204081632654
PACF: n_random_points=10 nb_inst_per_class=1,Chinatown,0.8723032069970845
PACF: n_random_points=10 nb_inst_per_class=10,Chinatown,0.9807580174927113
PACF: n_random_points=10 nb_inst_per_class=100,Chinatown,0.9755102040816327
PACF: n_random_points=100 nb_inst_per_class=1,Chinatown,0.9428571428571428
PACF: n_random_points=100 nb_inst_per_class=10,Chinatown,0.9830903790087463
PACF: n_random_points=100 nb_inst_per_class=100,Chinatown,0.9830903790087463
